name,molecularFormula,adduct,pathway,superclass,classe
/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/0_Celastraceae_pos_SIRIUS_1,C37H45NO12,[M-H2O+H]+,Terpenoids,Sesquiterpenoids,Agarofuran sesquiterpenoids
/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10000_Celastraceae_pos_SIRIUS_11106,C29H53NO7,[M+Na]+,Terpenoids,Triterpenoids,N/A
/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10001_Celastraceae_pos_SIRIUS_11107,C19H26O6,[M+H]+,Terpenoids,Sesquiterpenoids,Drimane sesquiterpenoids
/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10002_Celastraceae_pos_SIRIUS_11108,C31H49NO6,[M-H4O2+H]+,Terpenoids,Triterpenoids,N/A
/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10003_Celastraceae_pos_SIRIUS_11109,C39H59NO7,[M-H2O+H]+,Terpenoids,Triterpenoids,Oleanane triterpenoids
/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10004_Celastraceae_pos_SIRIUS_11111,C27H44O5,[M+Na]+,Terpenoids,Triterpenoids,Ursane and Taraxastane triterpenoids
/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10005_Celastraceae_pos_SIRIUS_11113,C34H56O9,[M-H2O+H]+,Terpenoids,N/A,N/A
/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10006_Celastraceae_pos_SIRIUS_11114,C23H43NO3,[M+H3N+H]+,Terpenoids,Steroids,Cholane steroids
/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10009_Celastraceae_pos_SIRIUS_11118,C27H40O2,[M+H]+,Terpenoids,Triterpenoids,Lupane triterpenoids
