,filename,ATTRIBUTE_Species,ATTRIBUTE_Sppart,FC,ATTRIBUTE_Family,F_Specificty,Reported_comp_Species,Reported_comp_Genus,Reported_comp_Family
244,PF200_V601286_1D1_pos_v7_IODA.mzML,Glechoma hederaceae,Glechoma hederaceae PLANTE ENTIERE,0,Lamiaceae,0.725490196,0,0,1856
245,PF200_QCMix_2A3_pos_v7_IODA_D.mzML,,,0,,0,0,0,0
246,PF200_QCMix_2A3_pos_v7_IODA_C.mzML,,,0,,0,0,0,0
247,PF200_V601193_1E10_pos_v7_IODA.mzML,Filipendula ulmaria,Filipendula ulmaria SOMMITE,0,Rosaceae,0.833333333,38,39,598
248,PF200_Blank9DMSO_1H2O_1A1_pos_v7_IODA_A.mzML,,,0,,0,0,0,0
249,PF200_QCMix_2A3_pos_v4_IODA_A.mzML,,,0,,0,0,0,0
250,PF200_V601242_1G8_pos_v7_IODA.mzML,Rubus idaeus,Rubus idaeus FEUILLE,0,Rosaceae,0.176470588,193,193,598
251,PF200_Blank9DMSO_1H2O_2A1_pos_v7_IODA_A.mzML,,,0,,0,0,0,0
252,PF200_QCMix_1A3_pos_v7_IODA_D.mzML,,,0,,0,0,0,0
253,PF200_QCMix_1A3_pos_v7_IODA_H.mzML,,,0,,0,0,0,0
