,filename,ATTRIBUTE_Species,ATTRIBUTE_Sppart,FC,ATTRIBUTE_Family,F_Specificty,Reported_comp_Species,Reported_comp_Genus,Reported_comp_Family
120,PF200_V113385_1A5_pos_v7_IODA.mzML,Alpinia galanga,Alpinia galanga TIGE,0.058558559,Zingiberaceae,0.373873874,242,502,976
121,PF200_V602700_2E6_pos_v7_IODA.mzML,Castanea sativa,Castanea sativa FEUILLE,0.058394161,Fagaceae,0.416058394,96,96,96
122,PF200_V601132_1H12_pos_v7_IODA.mzML,Asparagus officinalis,Asparagus officinalis RACINE,0.0575,Asparagaceae,0.75,146,147,579
123,PF200_ID24779_1A10_pos_v7_IODA.mzML,Amorphophallus paeoniifolius,Amorphophallus paeoniifolius RHIZOME,0.057142857,Araceae,0.285714286,0,0,0
124,PF200_V602709_2F3_pos_v7_IODA.mzML,Vitis vinifera,Vitis vinifera FEUILLE,0.056818182,Vitaceae,0.176136364,1530,1530,1530
125,PF200_V601222_1E6_pos_v7_IODA.mzML,Valeriana officinalis,Valeriana officinalis RACINE,0.05643739,Caprifoliaceae,0.622574956,683,721,721
126,PF200_V601896_1H5_pos_v7_IODA.mzML,Passiflora edulis,Passiflora edulis PARTIE AERIENNE,0.055555556,Passifloraceae,0.055555556,130,130,130
127,PF200_V602397_2C8_pos_v7_IODA.mzML,Andrographis paniculata,Andrographis paniculata FEUILLE,0.055555556,Acanthaceae,0.383838384,483,483,510
128,PF200_V601413_1G9_pos_v7_IODA.mzML,Platycodon grandiflorus ,Platycodon grandiflorus  RACINE,0.055555556,Campanulaveae,0.222222222,0,0,0
129,PF200_V602686_2D8_pos_v7_IODA.mzML,Centella asiatica,Centella asiatica FEUILLE,0.054945055,Apiaceae,0.384615385,377,377,1499
130,PF200_V601141_2D3_pos_v7_IODA.mzML,Centaurium erythraea,Centaurium erythraea FLEUR,0.054545455,Gentianaceae,0.509090909,55,55,227
131,PF200_V602712_2F6_pos_v7_IODA.mzML,Gymnema sylvestre,Gymnema sylvestre FEUILLE,0.053571429,Apocynaceae,0.595238095,321,321,321
132,PF200_ID27674_1C1_pos_v7_IODA.mzML,Gardenia jasminoides,Gardenia jasminoides FRUIT,0.052805281,Rubiaceae,0.475247525,402,402,402
133,PF200_V601333_1G6_pos_v7_IODA.mzML,Raphanus raphanistrum,Raphanus raphanistrum RACINE,0.052631579,Brassicaceae,0.842105263,1,1,306
134,PF200_V601134_1E2_pos_v7_IODA.mzML,Inula helenium,Inula helenium RACINE,0.05078125,Asteraceae,0.21875,135,135,3902
135,PF200_V602427_1E9_pos_v7_IODA.mzML,Verbascum thapsus,Verbascum thapsus PARTIE AERIENNE,0.049180328,Scrophulariaceae,0.278688525,134,134,238
136,PF200_V602038_1G1_pos_v7_IODA.mzML,Rosmarinus officinalis,Rosmarinus officinalis FEUILLE,0.049122807,Lamiaceae,0.259649123,0,0,1856
137,PF200_ID27680_1B7_pos_v7_IODA.mzML,Hebanthe eriantha,Hebanthe eriantha TIGE,0.049019608,Amaranthaceae,0.470588235,38,38,38
138,PF200_ID27676_1B11_pos_v7_IODA.mzML,Magnolia sprengeri,Magnolia sprengeri FEUILLE,0.048780488,Magnoliaceae,0.414634146,6,6,6
139,PF200_V602713_2F7_pos_v7_IODA.mzML,Changium smyrnioides,Changium smyrnioides RACINE,0.048543689,Apiaceae,0.475728155,1,1,1499
140,PF200_V601208_2A12_pos_v7_IODA.mzML,Calluna vulgaris,Calluna vulgaris FLEUR,0.048192771,Ericaceae,0.192771084,74,74,298
141,PF200_ID27672_1C3_pos_v7_IODA.mzML,Avena sativa,Avena sativa POUSSE (Plantule),0.048076923,Poaceae,0.384615385,210,210,335
142,PF200_V601308_2C9_pos_v7_IODA.mzML,Ceratonia siliqua,Ceratonia siliqua FRUIT,0.047619048,Leguminosae,0.80952381,37,37,0
143,PF200_V602689_2H1_pos_v7_IODA.mzML,Helichrysum italicum,Helichrysum italicum SOMMITE,0.047531993,Asteraceae,0.669104205,102,113,3902
144,PF200_ID27677_1B10_pos_v7_IODA.mzML,Olea europaea,Olea europaea FEUILLE,0.047393365,Oleaceae,0.28436019,764,781,873
145,PF200_V601140_1F6_pos_v7_IODA.mzML,Elettaria cardamomum,Elettaria cardamomum FRUIT,0.046511628,Zingiberaceae,0.604651163,40,40,976
146,PF200_V601276_2A7_pos_v7_IODA.mzML,Artemisia vulgaris,Artemisia vulgaris FEUILLE,0.045977011,Asteraceae,0.149425287,224,439,3902
147,PF200_V602303_1C1_pos_v7_IODA.mzML,Matricaria chamomilla,Matricaria chamomilla FLEUR,0.045112782,Asteraceae,0.461152882,278,279,3902
148,PF200_V602622_2D4_pos_v7_IODA.mzML,Paeonia lactiflora,Paeonia lactiflora RACINE,0.044444444,Paeoniaceae,0.377777778,367,630,630
149,PF200_V601493_1C10_pos_v7_IODA.mzML,Terminalia chebula,Terminalia chebula FRUIT,0.044444444,Combretaceae,0.555555556,202,324,335
150,PF200_ID24835_1C8_pos_v7_IODA.mzML,Salvia sclarea,Salvia sclarea SOMMITE,0.043715847,Lamiaceae,0.459016393,224,729,1856
151,PF200_V602702_2E8_pos_v7_IODA.mzML,Krameria lappacea,Krameria lappacea RACINE,0.041420118,Krameriaceae,0.856015779,35,35,35
152,PF200_ID24776_2H6_pos_v7_IODA.mzML,Dendrobium chrysanthum,Dendrobium chrysanthum PARTIE AERIENNE,0.04048583,Orchidaceae,0.198380567,16,16,16
153,PF200_V113520_1A9_pos_v7_IODA.mzML,Filipendula ulmaria,Filipendula ulmaria PARTIE AERIENNE,0.040322581,Rosaceae,0.346774194,38,39,598
154,PF200_ID24773_2D6_pos_v7_IODA.mzML,Melissa officinalis,Melissa officinalis FEUILLE,0.04,Lamiaceae,0.16,188,188,1856
155,PF200_V602395_1F2_pos_v7_IODA.mzML,Sesbania grandiflora,Sesbania grandiflora FLEUR,0.039215686,Leguminosae,0.274509804,20,20,0
156,PF200_V114380_1B1_pos_v7_IODA.mzML,Limonia acidissima,Limonia acidissima FEUILLE,0.036956522,Rutaceae,0.569565217,77,77,339
157,PF200_ID27682_1B5_pos_v7_IODA.mzML,Vaccinium myrtillus,Vaccinium myrtillus FRUIT,0.035714286,Ericaceae,0.285714286,223,223,298
158,PF200_V602014_2H5_pos_v7_IODA.mzML,Solanum dulcamara,Solanum dulcamara TIGE,0.032608696,Solanaceae,0.532608696,87,87,738
159,PF200_V602299_1H2_pos_v7_IODA.mzML,Chamaemelum nobile,Chamaemelum nobile FLEUR,0.032258065,Asteraceae,0.649769585,133,133,3902
160,PF200_V602665_1H8_pos_v7_IODA.mzML,Melissa officinalis,Melissa officinalis PARTIE AERIENNE,0.032258065,Lamiaceae,0.322580645,188,188,1856
161,PF200_V602698_2E4_pos_v7_IODA.mzML,Bacopa monnieri,Bacopa monnieri PARTIE AERIENNE,0.030534351,Plantaginaceae,0.480916031,138,249,728
162,PF200_V601336_1G2_pos_v7_IODA.mzML,Salvia sclarea,Salvia sclarea SOMMITE,0.02955665,Lamiaceae,0.448275862,224,729,1856
163,PF200_V700103_2G7_pos_v7_IODA.mzML,Chrysanthemum indicum,Chrysanthemum indicum PARTIE AERIENNE,0.029411765,Asteraceae,0.117647059,196,392,3902
164,PF200_V601317_1E4_pos_v7_IODA.mzML,Vitex agnus castus,Vitex agnus castus FRUIT,0.028795812,Lamiaceae,0.441535777,0,0,1856
165,PF200_ID26638_1C6_pos_v7_IODA.mzML,Arctium lappa,Arctium lappa PARTIE AERIENNE,0.027027027,Asteraceae,0.745945946,242,242,3902
166,PF200_V602194_1C12_pos_v7_IODA.mzML,Terminalia catappa,Terminalia catappa FEUILLE,0.027027027,Combretaceae,0.383783784,105,324,335
167,PF200_V601245_1C2_pos_v7_IODA.mzML,Lamium album,Lamium album SOMMITE,0.026490066,Lamiaceae,0.549668874,53,53,1856
168,PF200_V114002_1A10_pos_v7_IODA.mzML,Harungana madagascariensis,Harungana madagascariensis GRAINE,0.025641026,Hypericaceae,0.179487179,66,66,66
169,PF200_V114365_1A11_pos_v7_IODA.mzML,Hibiscus sabdariffa,Hibiscus sabdariffa TIGE,0.025641026,Malvaceae,0.307692308,36,36,354
170,PF200_V601326_1H7_pos_v7_IODA.mzML,Menyanthes trifoliata,Menyanthes trifoliata FEUILLE,0.025,Menyanthaceae,0.5875,43,43,43
