	row ID	row m/z	retention time (min)	LQ-01-61-78_pos.mzXML	annotation	status	MF (sirius)	adduct (sirius)	Compound name (sirius)
533	4089	275.2586	5.37	0.00014930443931265795	non anotated	not interesting	C27H46O10	[M + Na]+	(2S,3R,4R,5R,6R)-2-methyl-6-[[(2R,3S,4S,5R,6R)-3,4,5-trihydroxy-6-[(2E,6E)-3,7,11-trimethyldodeca-2,6,10-trienoxy]oxan-2-yl]methoxy]oxane-3,4,5-triol
534	5847	308.1407	5.38	0.0009847944958145962	non anotated	not interesting	C19H30O2	[M - H2O + H]+	Anabolex
535	13068	495.2741	5.38	0.015378610446729741	non anotated	not interesting	C15H11ClO5	[M + H]+	4-chloro-1,6-dihydroxy-3-methoxy-8-methylxanthen-9-one
536	5347	300.1523	5.38	0.0005756697571573118	non anotated	not interesting	C23H36O	[M + H]+	17-but-3-en-2-yl-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol
537	5191	297.2418	5.38	0.00023774229902871074	non anotated	not interesting	C26H24N2O6	[M + Na]+	not available
538	7626	340.2851	5.38	0.00025449059710086556	non anotated	not interesting	C18H29N	[M + K]+	not available
539	6427	317.1461	5.38	0.0008985556015686595	non anotated	not interesting	not available	not available	not available
540	6965	326.6343	5.38	0.0002757670812194059	non anotated	not interesting	C10H18O4	[M - H4O2 + H]+	sebacate
541	8926	381.2615	5.38	0.0007777866997511598	non anotated	not interesting	C11H18O2	[M - H4O2 + H]+	10-undecynoate
542	7057	328.6542	5.38	0.0007675215304348114	non anotated	not interesting	C18H32O3	[M + H3N + H]+	Laetisaric acid
543	8348	359.279	5.38	0.0004928659323286977	non anotated	not interesting	not available	not available	not available
544	6348	316.1265	5.39	0.00016182787523827895	non anotated	not interesting	not available	not available	not available
545	14036	534.7608	5.39	0.00020766866737581029	non anotated	not interesting	C26H49N5O2	[M + Na]+	not available
546	10270	424.3651	5.4	0.00021193919707897675	non anotated	not interesting	not available	not available	not available
547	4292	280.2639	5.41	0.00023796241427816536	non anotated	not interesting	C18H36O2	[M - H2O + H]+	Stearate
548	3763	269.1	5.42	0.00028784502252917634	non anotated	not interesting	C27H46O6	[M + H]+	tetraHCA
549	14319	551.2991	5.47	9.479288083155411e-05	non anotated	not interesting	not available	not available	not available
550	13933	529.3167	5.47	0.00024267401086167662	non anotated	not interesting	C11H20O4	[M - H4O2 + H]+	bmse000847
551	12456	477.3938	5.48	7.541775167267983e-05	annotated	not interesting	C15H28O3	[M - H2O + H]+	not available
552	10249	423.3628	5.5	0.00034420715687947194	annotated	not interesting	C14H19NO8	[M + H]+	Griffonin
553	12390	475.3783	5.52	0.00018555910496315003	non anotated	not interesting	not available	not available	not available
554	5967	309.7011	5.52	0.0006293150081359057	non anotated	not interesting	C18H34O5	[M + H3N + H]+	9-hydroxyoctadecanedioic acid
555	9662	407.3682	5.53	0.0006458608086554012	non anotated	not interesting	C22H32O2	[M + H]+	Cervonate
556	13317	501.3914	5.53	0.0002772732742068483	non anotated	not interesting	C12H20O5	[M + H3N + H]+	4-Oxododecanedioic acid
557	10359	425.3784	5.53	0.03267485420937852	annotated	not interesting	C15H24O6	[M + H3N + H]+	not available
558	2118	217.1956	5.53	0.0002700373315186164	non anotated	not interesting	C9H8O4	[M + H]+	Caffeate
559	13741	519.2725	5.53	0.00018472554066360127	non anotated	not interesting	not available	not available	not available
560	11588	455.3524	5.54	0.0002885511319050133	annotated	not interesting	C12H12	[M + H]+	1,4-dimethylazulene
561	6022	310.7088	5.54	0.000114365469475183	non anotated	not interesting	C45H67NO5	[M + H]+	gymnasterone A
562	13154	497.2904	5.54	0.0005871913352755854	non anotated	not interesting	C40H66O	[M + K]+	(5E,9E)-2-[(1S,2R,3R)-3-ethenyl-3-methyl-2-[(1E,5E)-2,6,10-trimethylundeca-1,5,9-trienyl]cyclopentyl]-6,10,14-trimethylpentadeca-5,9,13-trien-2-ol
563	4254	279.2323	5.57	0.0001402745036547251	non anotated	not interesting	C32H48O5	[M - H4O2 + H]+	not available
564	1206	191.1797	5.57	0.0010641896989631776	annotated	not interesting	C28H40O7	[M + Na]+	2-[1-hydroxy-1-(5,6,17-trihydroxy-10,13-dimethyl-1-oxo-4,6,7,8,9,11,12,14,15,16-decahydrocyclopenta[a]phenanthren-17-yl)ethyl]-4,5-dimethyl-2,3-dihydropyran-6-one
565	11698	457.3679	5.57	0.0005581207792692174	annotated	not interesting	C19H32O9	[M - H4O2 + H]+	not available
566	12105	469.2956	5.57	0.00015195816458351492	non anotated	not interesting	not available	not available	not available
567	12754	485.3632	5.57	5.8176169392710105e-05	annotated	not interesting	C13H16O4	[M + H]+	not available
568	1583	203.1797	5.57	0.00028527999890030757	annotated	not interesting	C20H28O3	[M + H]+	not available
569	10889	439.3577	5.58	0.0005220327569685563	annotated	not interesting	C32H48O8	[M - H4O2 + H]+	not available
570	3085	247.2061	5.58	0.0001882303546855746	non anotated	not interesting	C20H30	[M + H]+	(1E,3Z,6E,10Z,14S)-3,7,11-trimethyl-14-prop-1-en-2-ylcyclotetradeca-1,3,6,10-tetraene
571	11056	442.3767	5.58	0.0003319237369953711	non anotated	not interesting	not available	not available	not available
572	6082	311.2948	5.59	0.0004671799237799572	non anotated	not interesting	C18H36O	[M + H3N + H]+	octadec-11Z-enol
573	13655	515.3012	5.59	0.001280412101445052	non anotated	not interesting	C13H21N3O6	[M + Na]+	3-{[(2E)-4-methoxy-4-oxobut-2-enoyl]amino}alanyl-L-valine
574	7147	330.2138	5.59	0.00031293361173013524	non anotated	not interesting	C20H36O5	[M + H]+	PGF1beta
575	578	163.1483	5.59	0.0010014848264369106	non anotated	not interesting	C29H44O6	[M + H]+	not available
576	7130	329.3054	5.59	0.0001677571612493474	non anotated	not interesting	C20H36O4	[M + H3N + H]+	not available
577	2665	233.1904	5.6	0.00015147409187394418	annotated	not interesting	C10H18O4	[M + H]+	sebacate
578	15501	691.5955	5.6	0.0010509986074284698	non anotated	not interesting	not available	not available	not available
579	10483	428.2888	5.61	0.0002815974227415122	non anotated	not interesting	not available	not available	not available
580	12702	485.2649	5.61	3.689081567509355e-05	non anotated	not interesting	C22H39N3O5	[M + Na]+	not available
581	12484	479.2791	5.61	0.0004173210506777963	non anotated	not interesting	C30H36O12	[M + H3N + H]+	not available
582	10406	427.2849	5.61	0.0009940115322601784	non anotated	not interesting	C20H30O3	[M - H4O2 + H]+	not available
583	4868	291.2039	5.61	0.004129976933147607	non anotated	not interesting	not available	not available	not available
584	5610	303.7283	5.61	0.001207650194252948	non anotated	not interesting	C19H32O2	[M - H4O2 + H]+	Adiol-d3
585	11311	449.2679	5.61	0.0008654081664176116	non anotated	not interesting	C13H24O2	[M + H]+	not available
586	3616	263.2373	5.62	0.0003287757781107452	non anotated	not interesting	C18H36O3	[M + H]+	Rosilic acid
587	11882	463.2849	5.62	0.011698883918602854	non anotated	not interesting	C31H43NO7	[M - H4O2 + H]+	not available
588	5384	300.7064	5.62	0.00011992863798962656	non anotated	not interesting	C24H32O6	[M + Na]+	not available
589	80	121.1013	5.63	6.812055534673713e-05	non anotated	not interesting	C31H50O4	[M + H]+	methyl (1S,4aR,6aR,6aS,6bR,8aR,10S,12aR,14bS)-1,10-dihydroxy-2,2,6a,6b,9,9,12a-heptamethyl-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-4a-carboxylate
590	2725	235.2061	5.63	0.0003887549513528805	non anotated	not interesting	C20H34O5	[M + H]+	Troxilin B3
591	1760	207.1747	5.65	0.00038095690947884635	non anotated	not interesting	not available	not available	not available
592	11849	461.3993	5.65	0.0024631440344461695	annotated	not interesting	C17H14O4	[M + K]+	Oprea1_210472
593	13151	497.2902	5.65	0.00016813061121159916	non anotated	not interesting	C19H13NO8	[M + H]+	not available
594	10251	423.3629	5.65	0.0005053902074613673	annotated	not interesting	not available	not available	not available
595	13547	511.3062	5.66	0.0026767887715067997	non anotated	not interesting	C24H26O15	[M + H]+	not available
596	14015	533.2881	5.66	0.0015680543014760788	non anotated	not interesting	C16H32O4	[M - H2O + H]+	9,16-dihydroxy-palmitic acid
597	9260	395.2779	5.66	0.00032033815874359117	non anotated	not interesting	C20H32O5	[M + H]+	lipoxin A4
598	3605	263.2008	5.67	9.173403330279536e-05	non anotated	not interesting	C17H16O4	[M + H]+	Spectrum_000324
599	6098	311.7171	5.67	0.003732091917716002	non anotated	not interesting	C9H16O3	[M + H3N + H]+	4-oxo-nonanoic acid
600	11138	443.3888	5.68	0.03037693859907444	non anotated	not interesting	not available	not available	not available
601	11006	441.3728	5.68	0.0008501346546448674	annotated	not interesting	C30H46O5	[M + Na]+	Bridgesigenin A
602	4640	287.2373	5.7	0.00013917508590876514	annotated	not interesting	C25H39NO8	[M + H3N + H]+	not available
