	filename	ATTRIBUTE_Family	ATTRIBUTE_Genus	ATTRIBUTE_Species	initial_F	filtered_F	Total_SF	Total_SNAF	FS	FC	LC	Reported_comp_Species	Reported_comp_Genus	Reported_comp_Family	SC	CCs	CCg	CC	New_CC_in_sp	New_CC_in_genus	PR
73	LQ-01-61-59_pos.mzXML	Celastraceae	Microtropis	Microtropis triflora	1297	1297	66	58	0.05	0.04	0.82252	14	211	6064	0	0.5	0.5	1	{'Agarofuran sesquiterpenoids'}	{'Agarofuran sesquiterpenoids'}	1.86252
43	LQ-01-61-29_pos.mzXML	Celastraceae	Euonymus	Euonymus alatus	1019	1019	138	125	0.14	0.12	0.69872	92	440	6064	0	0.5	0.5	1	{'Flavones'}	{'Flavones'}	1.81872
48	LQ-01-61-30_pos.mzXML	Celastraceae	Euonymus	Euonymus alatus	1198	1198	147	128	0.12	0.11	0.69872	92	440	6064	0	0.5	0.5	1	set()	set()	1.80872
59	LQ-01-61-08_pos.mzXML	Celastraceae	Celastrus	Celastrus paniculatus	530	530	52	43	0.1	0.08	0.66132	71	732	6064	0	0.5	0.5	1	"{'Cinnamic acids and derivatives', 'Other Octadecanoids'}"	"{'Cinnamic acids and derivatives', 'Other Octadecanoids'}"	1.74132
11	LQ-01-61-06_pos.mzXML	Celastraceae	Celastrus	Celastrus orbiculatus	1017	1017	226	215	0.22	0.21	0.52032	212	732	6064	0	0.5	0.5	1	"{'Open-chain polyketides', 'Unsaturated fatty acids', 'Simple coumarins'}"	"{'Simple coumarins', 'Open-chain polyketides'}"	1.73032
5	LQ-01-61-73_pos.mzXML	Celastraceae	Tripterygium	Tripterygium hypoglaucum	1192	1192	325	316	0.27	0.27	0.44612	162	1353	6064	0	0.5	0.5	1	set()	set()	1.71612
29	LQ-01-61-67_pos.mzXML	Celastraceae	Salacia	Salacia chinensis	1038	1038	188	163	0.18	0.16	0.46292	313	514	6064	0	0.5	0.5	1	set()	set()	1.62292
31	LQ-01-61-66_pos.mzXML	Celastraceae	Salacia	Salacia chinensis	1200	1200	222	181	0.18	0.15	0.46292	313	514	6064	0	0.5	0.5	1	{'Tetraketide meroterpenoids'}	{'Tetraketide meroterpenoids'}	1.61292
19	LQ-01-61-41_pos.mzXML	Celastraceae	Loeseneriella	Loeseneriella concinna	1223	1223	264	233	0.22	0.19	0.87872	0	0	6064	0	0	0	0	nothing in DB	nothing in DB	1.06872
24	LQ-01-61-14_pos.mzXML	Celastraceae	Evonymopsis	Evonymopsis sp	1312	1312	230	227	0.18	0.17	0.87872	0	0	6064	0	0	0	0	nothing in DB	nothing in DB	1.04872
