	filename	ATTRIBUTE_Family	ATTRIBUTE_Genus	ATTRIBUTE_Species	initial_F	filtered_F	Total_SF	Total_SNAF	FS	FC
45	LQ-01-61-46_pos.mzXML	Celastraceae	Maytenus	Maytenus inermis	886	58.0	9.0	9.0	0.16	0.16
4	LQ-01-61-05_pos.mzXML	Celastraceae	Celastrus	Celastrus orbiculatus	837	20.0	4.0	3.0	0.2	0.15
56	LQ-01-61-57_pos.mzXML	Celastraceae	Microtropis	Microtropis triflora	517	33.0	13.0	5.0	0.39	0.15
11	LQ-01-61-12_pos.mzXML	Celastraceae	Evonymopsis	Evonymopsis sp	1013	13.0	2.0	2.0	0.15	0.15
33	LQ-01-61-34_pos.mzXML	Celastraceae	Euonymus	Euonymus myrianthus	1419	33.0	11.0	5.0	0.33	0.15
60	LQ-01-61-61_pos.mzXML	Celastraceae	Mystroxylon	Mystroxylon aethiopicum	794	43.0	12.0	6.0	0.28	0.14
74	LQ-01-61-75_pos.mzXML	Celastraceae	Tripterygium	Tripterygium wilfordii	1435	61.0	26.0	8.0	0.43	0.13
12	LQ-01-61-13_pos.mzXML	Celastraceae	Evonymopsis	Evonymopsis sp	1418	76.0	30.0	10.0	0.39	0.13
17	LQ-01-61-18_pos.mzXML	Celastraceae	Euonymus	Euonymus bockii	960	48.0	6.0	6.0	0.12	0.12
52	LQ-01-61-53_pos.mzXML	Celastraceae	Gymnosporia	Gymnosporia senegalensis	1200	59.0	11.0	7.0	0.19	0.12
10	LQ-01-61-11_pos.mzXML	Celastraceae	Elaeodendron	Elaeodendron schweinfurthianum	1467	37.0	17.0	4.0	0.46	0.11
19	LQ-01-61-20_pos.mzXML	Celastraceae	Euonymus	Euonymus maackii	1666	63.0	16.0	7.0	0.25	0.11
39	LQ-01-61-40_pos.mzXML	Celastraceae	Loeseneriella	Loeseneriella urceolus	1237	22.0	2.0	2.0	0.09	0.09
26	LQ-01-61-27_pos.mzXML	Celastraceae	Euonymus	Euonymus fortunei	658	22.0	4.0	2.0	0.18	0.09
42	LQ-01-61-43_pos.mzXML	Celastraceae	Gymnosporia	Gymnosporia buchananii	1019	51.0	12.0	4.0	0.24	0.08
57	LQ-01-61-58_pos.mzXML	Celastraceae	Microtropis	Microtropis triflora	1560	28.0	7.0	2.0	0.25	0.07
70	LQ-01-61-71_pos.mzXML	Celastraceae	Salacia	Salacia chinensis	1106	33.0	8.0	2.0	0.24	0.06
35	LQ-01-61-36_pos.mzXML	Celastraceae	Euonymus	Euonymus myrianthus	1142	16.0	1.0	1.0	0.06	0.06
25	LQ-01-61-26_pos.mzXML	Celastraceae	Euonymus	Euonymus dielsianus	1148	31.0	3.0	2.0	0.1	0.06
24	LQ-01-61-25_pos.mzXML	Celastraceae	Euonymus	Euonymus dielsianus	1304	17.0	2.0	1.0	0.12	0.06
51	LQ-01-61-52_pos.mzXML	Celastraceae	Gymnosporia	Gymnosporia senegalensis	1082	19.0	3.0	1.0	0.16	0.05
9	LQ-01-61-10_pos.mzXML	Celastraceae	Elaeodendron	Elaeodendron schweinfurthianum	1170	51.0	7.0	2.0	0.14	0.04
68	LQ-01-61-69_pos.mzXML	Celastraceae	Salacia	Salacia cochinchinensis	1061	27.0	3.0	1.0	0.11	0.04
34	LQ-01-61-35_pos.mzXML	Celastraceae	Euonymus	Euonymus myrianthus	1535	30.0	6.0	1.0	0.2	0.03
64	LQ-01-61-65_pos.mzXML	Celastraceae	Salacia	Salacia chinensis	1182	37.0	1.0	1.0	0.03	0.03
14	LQ-01-61-15_pos.mzXML	Celastraceae	Euonymus	Euonymus alatus	759	31.0	0.0	0.0	0.0	0.0
15	LQ-01-61-16_pos.mzXML	Celastraceae	Euonymus	Euonymus alatus	1077	15.0	0.0	0.0	0.0	0.0
58	LQ-01-61-59_pos.mzXML	Celastraceae	Microtropis	Microtropis triflora	1297	20.0	3.0	0.0	0.15	0.0
37	LQ-01-61-38_pos.mzXML	Celastraceae	Euonymus	Euonymus sanguineus	1123	25.0	1.0	0.0	0.04	0.0
38	LQ-01-61-39_pos.mzXML	Celastraceae	Euonymus	Euonymus sanguineus	1009	10.0	0.0	0.0	0.0	0.0
75	LQ-01-61-76_pos.mzXML				63					
