	filename	ATTRIBUTE_Family	ATTRIBUTE_Genus	ATTRIBUTE_Species	initial_F	filtered_F	Total_SF	Total_SNAF	Total_SNA_GQMFF	MF_prediction_ratio	FS	FC	PS	LC	Reported_comp_Species	Reported_comp_Genus	Reported_comp_Family	CCs	CCg	CC	New_CC_in_sp	New_CC_in_genus	SC
23	LQ-01-61-67_pos.mzXML	Celastraceae	Salacia	Salacia chinensis	1220	38.0	10.0	8.0	1.0	0.03	0.26	0.21		0.46	313.0	514.0	6064						0
24	LQ-01-61-13_pos.mzXML	Celastraceae	Evonymopsis	Evonymopsis sp	1683	86.0	20.0	17.0	1.0	0.01	0.23	0.2		0.88	0.0	0.0	6064						0
25	LQ-01-61-54_pos.mzXML	Celastraceae	Maytenus	Maytenus undata	1432	16.0	3.0	3.0	1.0	0.06	0.19	0.19		0.8	14.0	338.0	6064						0
26	LQ-01-61-22_pos.mzXML	Celastraceae	Euonymus	Euonymus cochinchinensis	768	16.0	4.0	3.0	0.0	0.0	0.25	0.19	0.98	0.79	0.0	440.0	6064	0.0	0.0	0.0	nothing in DB	nothing in DB	0
27	LQ-01-61-44_pos.mzXML	Celastraceae	Gymnosporia	Gymnosporia buchananii	1183	17.0	3.0	3.0	1.0	0.06	0.18	0.18		0.8	15.0	329.0	6064						0
28	LQ-01-61-29_pos.mzXML	Celastraceae	Euonymus	Euonymus alatus	1182	22.0	4.0	4.0	0.0	0.0	0.18	0.18		0.7	92.0	440.0	6064						1
29	LQ-01-61-75_pos.mzXML	Celastraceae	Tripterygium	Tripterygium wilfordii	1727	70.0	13.0	12.0	0.0	0.0	0.19	0.17	1.17	0.0	1011.0	1353.0	6064	0.5	0.5	1.0	{'Simple tetramate alkaloids'}	{'Simple tetramate alkaloids'}	0
30	LQ-01-61-01_pos.mzXML	Celastraceae	Catha	Catha edulis	1287	29.0	5.0	5.0	0.0	0.0	0.17	0.17		0.73	126.0	126.0	6064						0
31	LQ-01-61-71_pos.mzXML	Celastraceae	Salacia	Salacia chinensis	1300	37.0	6.0	6.0	0.0	0.0	0.16	0.16		0.46	313.0	514.0	6064						0
32	LQ-01-61-62_pos.mzXML	Celastraceae	Pleurostylia	Pleurostylia africana	785	32.0	5.0	5.0	0.0	0.0	0.16	0.16		0.87	3.0	50.0	6064						0
33	LQ-01-61-59_pos.mzXML	Celastraceae	Microtropis	Microtropis triflora	1567	25.0	4.0	4.0	0.0	0.0	0.16	0.16		0.82	14.0	211.0	6064						0
34	LQ-01-61-34_pos.mzXML	Celastraceae	Euonymus	Euonymus myrianthus	1741	38.0	7.0	6.0	0.0	0.0	0.18	0.16		0.79	0.0	440.0	6064						0
35	LQ-01-61-19_pos.mzXML	Celastraceae	Euonymus	Euonymus bockii	1675	26.0	4.0	4.0	0.0	0.0	0.15	0.15		0.79	0.0	440.0	6064						0
36	LQ-01-61-09_pos.mzXML	Celastraceae	Celastrus	Celastrus paniculatus	430	46.0	8.0	7.0	3.0	0.07	0.17	0.15		0.66	71.0	732.0	6064						1
37	LQ-01-61-33_pos.mzXML	Celastraceae	Euonymus	Euonymus frigidus	1650	77.0	13.0	11.0	0.0	0.0	0.17	0.14	0.93	0.79	0.0	440.0	6064	0.0	0.0	0.0	nothing in DB	nothing in DB	0
38	LQ-01-61-55_pos.mzXML	Celastraceae	Maytenus	Maytenus undata	1690	23.0	5.0	3.0	0.0	0.0	0.22	0.13		0.8	14.0	338.0	6064						0
39	LQ-01-61-17_pos.mzXML	Celastraceae	Euonymus	Euonymus bockii	1628	42.0	5.0	5.0	0.0	0.0	0.12	0.12		0.79	0.0	440.0	6064						0
40	LQ-01-61-74_pos.mzXML	Celastraceae	Tripterygium	Tripterygium wilfordii	1590	58.0	7.0	7.0	1.0	0.02	0.12	0.12		0.0	1011.0	1353.0	6064						0
41	LQ-01-61-73_pos.mzXML	Celastraceae	Tripterygium	Tripterygium hypoglaucum	1386	51.0	6.0	6.0	0.0	0.0	0.12	0.12		0.45	162.0	1353.0	6064						0
42	LQ-01-61-66_pos.mzXML	Celastraceae	Salacia	Salacia chinensis	1381	80.0	13.0	9.0	1.0	0.01	0.16	0.11		0.46	313.0	514.0	6064						0
43	LQ-01-61-11_pos.mzXML	Celastraceae	Elaeodendron	Elaeodendron schweinfurthianum	1768	44.0	5.0	5.0	0.0	0.0	0.11	0.11		0.87	0.0	64.0	6064						0
44	LQ-01-61-18_pos.mzXML	Celastraceae	Euonymus	Euonymus bockii	1158	57.0	6.0	6.0	8.0	0.14	0.11	0.11		0.79	0.0	440.0	6064						0
45	LQ-01-61-68_pos.mzXML	Celastraceae	Salacia	Salacia cochinchinensis	727	63.0	8.0	7.0	3.0	0.05	0.13	0.11		0.78	0.0	514.0	6064						0
46	LQ-01-61-02_pos.mzXML	Celastraceae	Catha	Catha edulis	1401	89.0	12.0	10.0	0.0	0.0	0.13	0.11		0.73	126.0	126.0	6064						0
