	annotation network number	LQ-01-61-01_pos.mzXML	retention time (min)	row m/z	adduct (ion identity)	row ID	neutral mass (ion identity)	Compound name (gnps)	adduct (gnps)	MF (sirius)	adduct (sirius)	Compound name (sirius)	NPC#pathway	NPC#superclass	NPC#class	annotation	status
13623	12662x		6.65	483.3824	['not available']	[12662]	not available	['[1,2,14,18,18-pentamethyl-8-(1-methylvinyl)-17-oxopentacyclo[11.8.0.0<2,10>.0< 5,9>.0<14,19>]henicos-5-yl]methyl acetate']	['M+H']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	annotated	not interesting
14290	3534.0		6.65	502.3891	['[M+H]+', '[M+NH4]+']	[12747, 13329]	484.355	['ST092794', 'not available']	['M+H', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	annotated	not interesting
17009	16048x		6.65	941.5575	['not available']	[16048]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
14582	13621x		6.65	513.3582	['not available']	[13621]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
16563	15602x		6.66	718.3957	['not available']	[15602]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
16365	15404x		6.67	665.4969	['not available']	[15404]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
13646	12685x		6.68	484.4156	['not available']	[12685]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
15564	14603x		6.69	570.3219	['not available']	[14603]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
13939	3538.0		6.7	513.3298	['[M+NH4]+', '[M+K]+']	[12978, 13600]	474.369	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	non anotated	not interesting
16701	15740x		6.7	773.4246	['not available']	[15740]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
14561	3538.0		6.7	513.3298	['[M+NH4]+', '[M+K]+']	[12978, 13600]	474.369	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	non anotated	not interesting
16473	3541.0		6.72	693.4542	['[M+NH4]+', '[M+Na]+']	[15488, 15512]	670.4653	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	non anotated	not interesting
16155	15194x		6.72	627.4615	['not available']	[15194]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
13704	3540.0		6.72	485.3612	['[M-2H2O+H]+', '[M-H2O+H]+', '[M+H]+', '[M+Na]+']	[10443, 11228, 11898, 12743]	462.3715	['not available', 'not available', 'not available', 'ST092794']	['not available', 'not available', 'not available', 'M+H']	['not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available']	annotated	not interesting
16449	3541.0		6.72	693.4542	['[M+NH4]+', '[M+Na]+']	[15488, 15512]	670.4653	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	non anotated	not interesting
13738	12777x		6.72	486.4319	['not available']	[12777]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
16105	15144x		6.73	621.4379	['not available']	[15144]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
14882	13921x		6.73	528.4053	['not available']	[13921]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
15835	14874x		6.73	593.4756	['not available']	[14874]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
17040	16079x		6.73	957.551	['not available']	[16079]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
14585	13624x		6.73	514.2808	['not available']	[13624]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
15231	14270x		6.74	548.2801	['not available']	[14270]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
16101	15140x		6.74	621.3087	['not available']	[15140]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
15520	14559x		6.74	567.416	['not available']	[14559]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
13207	12246x		6.75	471.3841	['not available']	[12246]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
14000	13039x		6.75	494.2906	['not available']	[13039]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
16359	15398x		6.75	663.4819	['not available']	[15398]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
15996	3546.0		6.75	609.4134	['[M+NH4]+', '[M+Na]+']	[14985, 15035]	586.4241	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	non anotated	not interesting
16329	15368x		6.75	658.5269	['not available']	[15368]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
