	annotation network number	LQ-01-61-01_pos.mzXML	retention time (min)	row m/z	adduct (ion identity)	row ID	neutral mass (ion identity)	Compound name (gnps)	adduct (gnps)	MF (sirius)	adduct (sirius)	Compound name (sirius)	NPC#pathway	NPC#superclass	NPC#class	annotation	status
838	7.0	0.17481441265456674	0.34	188.0931	['[2M-H2O+2H]2+', '[M+NH4]+', '[M+NH4]+', '[M+NH4]+', '[M+NH4]+', '[M+NH4]+', '[M+NH4]+', '[M+NH4]+', '[M+NH4]+', '[M+ACN+H]+', '[M+ACN+H]+', '[M+ACN+H]+']	[227, 588, 588, 588, 588, 593, 593, 593, 593, 1101, 1101, 1101]	146.0627	['not available', 'not available', 'not available', 'not available', 'not available', 'not available', 'not available', 'not available', 'not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available', 'not available', 'not available', 'not available', 'not available', 'not available', 'not available', 'not available', 'not available']	['not available', 'C9H8O3', 'C9H8O3', 'C9H10O4', 'C9H10O4', 'C9H8O3', 'C9H8O3', 'C9H10O4', 'C9H10O4', 'C13H18O', 'C13H22O3', 'C13H20O2']	['not available', '[M + H]+', '[M + H]+', '[M - H2O + H]+', '[M - H2O + H]+', '[M + H]+', '[M + H]+', '[M - H2O + H]+', '[M - H2O + H]+', '[M + H]+', '[M - H4O2 + H]+', '[M - H2O + H]+']	['not available', 'coumarate', 'coumarate', 'Oprea1_302742', 'Oprea1_302742', 'coumarate', 'coumarate', 'ACMC-20anjv', 'ACMC-20anjv', 'not available', 'not available', 'not available']	['not available', 'Shikimates and Phenylpropanoids', 'Shikimates and Phenylpropanoids', 'Shikimates and Phenylpropanoids', 'Shikimates and Phenylpropanoids', 'Shikimates and Phenylpropanoids', 'Shikimates and Phenylpropanoids', 'Shikimates and Phenylpropanoids', 'Shikimates and Phenylpropanoids', 'not available', 'not available', 'not available']	['not available', 'Phenylpropanoids (C6-C3)', 'Phenylpropanoids (C6-C3)', 'Phenylpropanoids (C6-C3)', 'Phenylpropanoids (C6-C3)', 'Phenylpropanoids (C6-C3)', 'Phenylpropanoids (C6-C3)', 'Phenylpropanoids (C6-C3)', 'Phenylpropanoids (C6-C3)', 'not available', 'not available', 'not available']	['not available', 'Cinnamic acids and derivatives', 'Cinnamic acids and derivatives', 'Cinnamic acids and derivatives', 'Cinnamic acids and derivatives', 'Cinnamic acids and derivatives', 'Cinnamic acids and derivatives', 'Cinnamic acids and derivatives', 'Cinnamic acids and derivatives', 'not available', 'not available', 'not available']	non anotated	not interesting
15845	14884x		0.37	595.1437	['not available']	[14884]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
15666	14705x		0.38	579.1496	['not available']	[14705]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
1073	735x	0.006775166113631105	0.38	173.0786	['not available', 'not available', 'not available']	[735, 735, 735]	not available	['not available', 'not available', 'not available']	['not available', 'not available', 'not available']	['C12H18O3', 'C12H14O', 'C12H16O2']	['[M - H4O2 + H]+', '[M + H]+', '[M - H2O + H]+']	['not available', '2-ethyl-2-methyl-3H-inden-1-one', 'not available']	['not available', 'not available', 'not available']	['not available', 'not available', 'not available']	['not available', 'not available', 'not available']	non anotated	not interesting
1330	912x	1.0	0.44	180.0633	['not available']	[912]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	specific non annotated
16007	15046x		0.51	611.1383	['not available']	[15046]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
15844	14883x		0.52	595.1435	['not available']	[14883]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
15661	14700x		0.54	579.1492	['not available']	[14700]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
15846	14885x		0.66	595.1437	['not available']	[14885]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
16008	15047x		0.66	611.1389	['not available']	[15047]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
15660	14699x		0.69	579.1488	['not available']	[14699]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
15847	14886x		0.76	595.144	['not available']	[14886]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
15662	14701x		0.97	579.1493	['not available']	[14701]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
15849	14888x		0.97	595.1444	['not available']	[14888]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
15822	14861x		0.98	593.1284	['not available']	[14861]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
15910	46.0		1.02	601.1321	['[M+H]+', '[M+Na]+']	[14703, 14949]	578.1425	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	non anotated	not interesting
15664	46.0		1.02	601.1321	['[M+H]+', '[M+Na]+']	[14703, 14949]	578.1425	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	non anotated	not interesting
15826	14865x		1.09	593.1654	['not available']	[14865]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
15532	14571x		1.1	569.1212	['not available']	[14571]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
13889	12928x		1.1	491.1102	['not available']	[12928]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
15986	15025x		1.11	609.1228	['not available']	[15025]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
15667	80.0		1.17	601.1314	['[M+H]+', '[M+Na]+']	[14706, 14948]	578.1423	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	non anotated	not interesting
15909	80.0		1.17	601.1314	['[M+H]+', '[M+Na]+']	[14706, 14948]	578.1423	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	non anotated	not interesting
14063	84.0		1.18	501.1582	['[M+NH4]+', '[M+Na]+']	[13102, 13265]	478.169	['(2R,3S,4S,5R,6S)-2-[(3,4,5-trihydroxyoxan-2-yl)oxymethyl]-6-(3,4,5-trimethoxyphenoxy)oxane-3,4,5-triol', 'not available']	['[M+NH4]+', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	annotated	not interesting
14226	84.0		1.18	501.1582	['[M+NH4]+', '[M+Na]+']	[13102, 13265]	478.169	['(2R,3S,4S,5R,6S)-2-[(3,4,5-trihydroxyoxan-2-yl)oxymethyl]-6-(3,4,5-trimethoxyphenoxy)oxane-3,4,5-triol', 'not available']	['[M+NH4]+', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	annotated	not interesting
15449	91.0		1.2	563.1547	['[M+H]+']	[14488]	562.1472	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
15415	90.0		1.2	585.1361	['[M+NH4]+', '[M+ACN+H]+']	[14454, 14765]	543.1037	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	non anotated	not interesting
15726	90.0		1.2	585.1361	['[M+NH4]+', '[M+ACN+H]+']	[14454, 14765]	543.1037	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	non anotated	not interesting
16864	15903x		1.23	864.6543	['not available']	[15903]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
15808	14847x		1.24	592.1446	['not available']	[14847]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
13489	12528x		1.24	481.0736	['not available']	[12528]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
16891	99.0		1.25	883.1256	['[M+H]+', '[M+Na]+', '[2M+Na]+', '[2M+K]+']	[10178, 11173, 15904, 15930]	422.0843	['not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available']	non anotated	not interesting
16865	99.0		1.25	883.1256	['[M+H]+', '[M+Na]+', '[2M+Na]+', '[2M+K]+']	[10178, 11173, 15904, 15930]	422.0843	['not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available']	non anotated	not interesting
1234	104.0	1.0	1.26	200.0319	['[M+H]+', '[M+Na]+']	[867, 1466]	177.0427	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	non anotated	specific non annotated
16062	15101x		1.29	617.0683	['not available']	[15101]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
5319	4358x	0.12969481377678652	1.29	282.0414	['not available']	[4358]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
15663	14702x		1.32	579.1494	['not available']	[14702]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
14471	13510x		1.32	510.2181	['not available']	[13510]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
16351	15390x		1.32	663.1675	['not available']	[15390]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
15447	14486x		1.33	563.1545	['not available']	[14486]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
15824	14863x		1.35	593.1647	['not available']	[14863]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
16816	15855x		1.35	835.2227	['not available']	[15855]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
15206	14245x		1.35	547.1596	['not available']	[14245]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
15848	14887x		1.36	595.1444	['not available']	[14887]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
13740	12779x		1.38	487.1448	['not available']	[12779]	not available	['NCGC00385834-01!7-[(2S,3R,4S,5S,6R)-6-[[(2R,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4,5-trihydroxyoxan-2-yl]oxy-6-methoxychromen-2-one']	['M+H']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	annotated	not interesting
15823	14862x		1.4	593.1287	['not available']	[14862]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
16148	149.0		1.42	649.1368	['[M+H]+', '[M+Na]+']	[15187, 15307]	626.1477	['NCGC00385380-02!3-[3,4-dihydroxy-6-(hydroxymethyl)-5-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one', 'NCGC00385380-01!3-[3,4-dihydroxy-6-(hydroxymethyl)-5-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one [IIN-based: Match]']	['M+H', '[M+Na]+']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	annotated	not interesting
16268	149.0		1.42	649.1368	['[M+H]+', '[M+Na]+']	[15187, 15307]	626.1477	['NCGC00385380-02!3-[3,4-dihydroxy-6-(hydroxymethyl)-5-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one', 'NCGC00385380-01!3-[3,4-dihydroxy-6-(hydroxymethyl)-5-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one [IIN-based: Match]']	['M+H', '[M+Na]+']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	annotated	not interesting
15635	14674x		1.43	577.1335	['not available']	[14674]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
15205	14244x		1.46	547.1596	['not available']	[14244]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
13819	159.0		1.46	489.1004	['[M+H]+', '[M+Na]+']	[11993, 12858]	466.1112	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	non anotated	not interesting
15448	14487x		1.47	563.1546	['not available']	[14487]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
14651	13690x		1.48	517.13	['not available']	[13690]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
16817	15856x		1.48	835.223	['not available']	[15856]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
13355	12394x		1.49	476.1002	['not available']	[12394]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
15030	14069x		1.5	537.1965	['not available']	[14069]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
16657	15696x		1.5	757.2182	['not available']	[15696]	not available	['2-(3,4-dihydroxyphenyl)-3-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-3-[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy-6-[[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-2-yl]oxy-5,7-dihydroxychromen-4-one']	['[M+H]+']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	annotated	not interesting
15668	14707x		1.52	579.1497	['not available']	[14707]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
16623	181.0		1.55	763.2049	['[M+H]+', '[M+Na]+']	[15662, 15716]	740.2159	['3-[4,5-dihydroxy-3-(3,4,5-trihydroxy-6-methyloxan-2-yl)oxy-6-[(3,4,5-trihydroxy-6-methyloxan-2-yl)oxymethyl]oxan-2-yl]oxy-5,7-dihydroxy-2-(4-hydroxyphenyl)chromen-4-one', 'not available']	['[M+H]+', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	annotated	not interesting
15852	14891x		1.55	595.1656	['not available']	[14891]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
16677	181.0		1.55	763.2049	['[M+H]+', '[M+Na]+']	[15662, 15716]	740.2159	['3-[4,5-dihydroxy-3-(3,4,5-trihydroxy-6-methyloxan-2-yl)oxy-6-[(3,4,5-trihydroxy-6-methyloxan-2-yl)oxymethyl]oxan-2-yl]oxy-5,7-dihydroxy-2-(4-hydroxyphenyl)chromen-4-one', 'not available']	['[M+H]+', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	annotated	not interesting
15670	14709x		1.59	579.1706	['not available']	[14709]	not available	['CHEMBL1327126']	['M+H']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	annotated	not interesting
16695	15734x		1.6	771.2336	['not available']	[15734]	not available	['3-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-3-[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy-6-[[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-2-yl]oxy-5,7-dihydroxy-2-(4-hydroxyphenyl)-6-methoxychromen-4-one']	['[M+H]+']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	annotated	not interesting
16009	191.0		1.6	633.1422	['[M+H]+', '[M+Na]+']	[15048, 15219]	610.153	['Rutin - 40.0 eV', '3-{6-[((6S,2R,3R,4R,5R)-3,4,5-trihydroxy-6-methyl(2H-3,4,5,6-tetrahydropyran-2 -yloxy))methyl](2S,4S,5S,3R,6R)-3,4,5-trihydroxy(2H-3,4,5,6-tetrahydropyran-2- yloxy)}-2-(2,3-dihydroxyphenyl)-5,7-dihydroxychromen-4-one']	['M+H', 'M+Na']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	annotated	not interesting
16180	191.0		1.6	633.1422	['[M+H]+', '[M+Na]+']	[15048, 15219]	610.153	['Rutin - 40.0 eV', '3-{6-[((6S,2R,3R,4R,5R)-3,4,5-trihydroxy-6-methyl(2H-3,4,5,6-tetrahydropyran-2 -yloxy))methyl](2S,4S,5S,3R,6R)-3,4,5-trihydroxy(2H-3,4,5,6-tetrahydropyran-2- yloxy)}-2-(2,3-dihydroxyphenyl)-5,7-dihydroxychromen-4-one']	['M+H', 'M+Na']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	annotated	not interesting
15665	14704x		1.63	579.1495	['not available']	[14704]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
15088	203.0		1.63	545.199	['[M+HFA+NH4]+', '[2M+NH4]+', '[2M+Na]+']	[6889, 14127, 14199]	261.1047	['not available', 'not available', 'not available']	['not available', 'not available', 'not available']	['not available', 'not available', 'not available']	['not available', 'not available', 'not available']	['not available', 'not available', 'not available']	['not available', 'not available', 'not available']	['not available', 'not available', 'not available']	['not available', 'not available', 'not available']	non anotated	not interesting
13739	210.0		1.63	487.0843	['[M+H]+', '[M+Na]+']	[11915, 12778]	464.0952	['ReSpect:PT109290 Myricetin-3-Rhamnoside|Myrc-3-Rha|Myricitrin|Myricitrine|Myricetrin|Myricitroside|myricetin-3-O-rhamnoside|Myricetol 3-rhamnoside|Myricetin 3-O-alpha-L-rhamnopyranoside|3-((6-Deoxy-alpha-L-mannopyrano', 'Myricitrin']	['[M+H]', 'M+Na']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	annotated	not interesting
15160	203.0		1.63	545.199	['[M+HFA+NH4]+', '[2M+NH4]+', '[2M+Na]+']	[6889, 14127, 14199]	261.1047	['not available', 'not available', 'not available']	['not available', 'not available', 'not available']	['not available', 'not available', 'not available']	['not available', 'not available', 'not available']	['not available', 'not available', 'not available']	['not available', 'not available', 'not available']	['not available', 'not available', 'not available']	['not available', 'not available', 'not available']	non anotated	not interesting
15502	14541x		1.64	567.1347	['not available']	[14541]	not available	['NCGC00384958-01!2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2S,3R,4S,5S)-4-hydroxy-5-(hydroxymethyl)-3-[(2S,3R,4S,5R)-3,4,5-trihydroxyoxan-2-yl]oxyoxolan-2-yl]oxychromen-4-one']	['M+H']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	annotated	not interesting
15689	14728x		1.67	581.15	['not available']	[14728]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
15850	233.0		1.68	617.1473	['[M+H]+', '[M+Na]+']	[14889, 15102]	594.1582	['Spectral Match to Kaempferol 3-O-rutinoside from NIST14', 'NCGC00180770-02!3-[(2S,3R,4S,5R,6R)-3,5-dihydroxy-6-(hydroxymethyl)-4-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-5,7-dihydroxy-2-(4-hydroxyphenyl)chromen-4-one']	['M+H', 'M+Na']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	annotated	not interesting
16063	233.0		1.68	617.1473	['[M+H]+', '[M+Na]+']	[14889, 15102]	594.1582	['Spectral Match to Kaempferol 3-O-rutinoside from NIST14', 'NCGC00180770-02!3-[(2S,3R,4S,5R,6R)-3,5-dihydroxy-6-(hydroxymethyl)-4-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-5,7-dihydroxy-2-(4-hydroxyphenyl)chromen-4-one']	['M+H', 'M+Na']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	annotated	not interesting
14011	13050x		1.68	495.1132	['not available']	[13050]	not available	['NCGC00385532-01!2-(3,5-dihydroxy-4-methoxyphenyl)-5,7-dihydroxy-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one']	['M+H']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	annotated	not interesting
13225	238.0		1.69	473.1054	['[M+H]+', '[M+Na]+']	[11346, 12264]	450.1162	['Astilbin/neoastilbin', 'not available']	['M+H', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	annotated	not interesting
15671	14710x		1.7	579.1707	['not available']	[14710]	not available	['ReSpect:PT109360 Kaempferol-3-Rhamnoside-7-Rhamnoside|Kaem-3-Rha-7-Rha|Kaempferitrin|5-hydroxy-2-(4-hydroxyphenyl)-3,7-bis[[(2S,3R,4S,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy]chromen-4-one']	['[M+H]']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	annotated	not interesting
16129	15168x		1.7	625.1759	['not available']	[15168]	not available	['Spectral Match to Narcissin from NIST14']	['M+H']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	annotated	not interesting
15615	244.0		1.71	575.2096	['[M+NH4]+', '[M+Na]+']	[14598, 14654]	552.2205	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	non anotated	not interesting
15584	14623x		1.71	572.2007	['not available']	[14623]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
15559	244.0		1.71	575.2096	['[M+NH4]+', '[M+Na]+']	[14598, 14654]	552.2205	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	non anotated	not interesting
15293	14332x		1.71	552.2195	['not available']	[14332]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
13549	12588x		1.71	482.2597	['not available']	[12588]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
15028	14067x		1.72	537.1961	['not available']	[14067]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
13651	12690x		1.75	485.1479	['not available']	[12690]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
15334	14373x		1.75	555.1346	['not available']	[14373]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
15851	14890x		1.75	595.1656	['not available']	[14890]	not available	['2-(3,4-dihydroxyphenyl)-5-hydroxy-3,7-bis[[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy]chromen-4-one']	['[M+H]+']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	annotated	not interesting
15825	14864x		1.75	593.165	['not available']	[14864]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
14472	13511x		1.75	510.2337	['not available']	[13511]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
13890	12929x		1.76	491.1183	['not available']	[12929]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
15089	261.0		1.76	545.1993	['[M+NH4]+', '[M+Na]+']	[14128, 14200]	522.2102	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	non anotated	not interesting
16583	15622x		1.76	727.2079	['not available']	[15622]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
1413	267.0	0.04231221044023644	1.76	205.1223	['[M+NH4]+', '[M+ACN+H]+', '[M+ACN+H]+', '[M+ACN+H]+']	[955, 1622, 1622, 1622]	163.0885	['not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available']	['not available', 'C13H22O4', 'C13H20O3', 'C13H18O2']	['not available', '[M - H4O2 + H]+', '[M - H2O + H]+', '[M + H]+']	['not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available']	non anotated	not interesting
15161	261.0		1.76	545.1993	['[M+NH4]+', '[M+Na]+']	[14128, 14200]	522.2102	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	non anotated	not interesting
16246	15285x		1.77	644.1496	['not available']	[15285]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
16130	272.0		1.78	647.158	['[M+H]+', '[M+Na]+']	[15169, 15297]	624.1689	['CCG-208435', 'CCG-208435']	['M+H', 'M+Na']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	annotated	not interesting
