	sample_id	anomaly_IF	anomaly_LOF	anomaly_OCSVM	SC
1082	VGF153_E04	1	1	1	0
1083	VGF153_E05	1	1	1	0
1084	VGF153_E06	1	1	1	0
1085	VGF153_E07	1	1	1	0
1086	VGF153_E08	1	1	1	0
1087	VGF153_E09	1	1	1	0
1088	VGF153_E10	1	1	1	0
1089	VGF153_E11	1	1	1	0
1090	VGF153_F02	1	1	1	0
1091	VGF153_F03	1	1	1	0
1092	VGF153_F04	1	1	1	0
1093	VGF153_F05	1	1	1	0
1094	VGF153_F06	1	1	1	0
1095	VGF153_F07	1	1	1	0
1096	VGF153_F08	1	1	1	0
1097	VGF153_F09	1	1	1	0
1098	VGF153_F10	1	1	1	0
1099	VGF153_F11	1	1	1	0
1100	VGF153_G02	1	1	1	0
1101	VGF153_G03	1	-1	1	1
1102	VGF153_G04	1	1	1	0
1103	VGF153_G05	1	1	1	0
1104	VGF153_G06	1	1	1	0
1105	VGF153_G07	1	1	1	0
1106	VGF153_G08	1	1	1	0
1107	VGF153_G09	1	1	1	0
1108	VGF153_G10	1	-1	-1	1
1109	VGF153_G11	1	1	1	0
1110	VGF153_H02	1	1	1	0
1111	VGF153_H03	1	1	1	0
1112	VGF153_H04	1	1	1	0
1113	VGF153_H05	1	1	1	0
1114	VGF153_H06	1	1	1	0
1115	VGF153_H07	1	-1	1	1
1116	VGF153_H08	1	1	1	0
1117	VGF153_H09	1	1	1	0
1118	VGF153_H10	1	1	1	0
1119	VGF153_H11	1	1	1	0
1120	VGF154_A02	1	1	1	0
1121	VGF154_A03	1	-1	1	1
1122	VGF154_A04	1	1	1	0
1123	VGF154_A05	1	1	1	0
1124	VGF154_A06	1	1	1	0
1125	VGF154_A07	1	1	1	0
1126	VGF154_A08	1	1	1	0
1127	VGF154_A09	1	-1	1	1
1128	VGF154_A10	1	-1	1	1
1129	VGF154_A11	1	1	1	0
1130	VGF154_B02	1	1	1	0
1131	VGF154_B03	1	1	1	0
1132	VGF154_B04	1	1	1	0
1133	VGF154_B05	1	1	1	0
1134	VGF154_B06	1	1	1	0
1135	VGF154_B07	1	1	1	0
1136	VGF154_B08	1	1	1	0
1137	VGF154_B09	1	-1	1	1
1138	VGF154_B10	1	1	1	0
1139	VGF154_B11	1	1	1	0
1140	VGF154_C02	1	1	1	0
1141	VGF154_C03	1	-1	-1	1
1142	VGF154_C04	1	1	1	0
1143	VGF154_C05	1	1	1	0
1144	VGF154_C06	1	-1	1	1
1145	VGF154_C07	1	1	1	0
1146	VGF154_C08	1	1	1	0
1147	VGF154_C09	1	1	1	0
1148	VGF154_C10	1	-1	1	1
1149	VGF154_C11	1	1	1	0
1150	VGF154_D02	1	1	1	0
1151	VGF154_D03	1	1	1	0
1152	VGF154_D04	1	1	1	0
1153	VGF154_D05	1	-1	1	1
1154	VGF154_D06	1	1	1	0
1155	VGF154_D07	1	1	1	0
1156	VGF154_D08	1	1	1	0
1157	VGF154_D09	1	1	1	0
1158	VGF154_D10	1	1	1	0
1159	VGF154_D11	1	1	1	0
1160	VGF154_E02	1	1	1	0
1161	VGF154_E03	1	-1	-1	1
1162	VGF154_E04	1	-1	1	1
1163	VGF154_E05	1	1	1	0
1164	VGF154_E06	1	1	1	0
1165	VGF154_E07	1	-1	1	1
1166	VGF154_E08	1	1	1	0
1167	VGF154_E09	1	1	1	0
1168	VGF154_E10	1	1	1	0
1169	VGF154_E11	1	1	1	0
1170	VGF154_F02	1	1	1	0
1171	VGF154_F03	1	1	1	0
1172	VGF154_F04	1	1	1	0
1173	VGF154_F05	1	1	1	0
1174	VGF154_F06	1	1	1	0
1175	VGF154_F07	1	1	1	0
1176	VGF154_F08	1	1	-1	1
1177	VGF154_F09	1	1	1	0
1178	VGF154_F10	1	1	1	0
1179	VGF154_F11	1	1	1	0
1180	VGF154_G02	1	1	1	0
1181	VGF154_G03	1	1	1	0
1182	VGF154_G04	1	1	1	0
1183	VGF154_G05	1	-1	1	1
1184	VGF154_G06	1	1	1	0
1185	VGF154_G07	1	1	1	0
1186	VGF154_G08	1	1	1	0
1187	VGF154_G09	1	1	-1	1
1188	VGF154_G10	1	1	1	0
1189	VGF154_G11	1	1	1	0
1190	VGF154_H02	1	1	1	0
1191	VGF154_H03	1	1	1	0
1192	VGF154_H04	1	-1	1	1
1193	VGF154_H05	1	1	1	0
1194	VGF154_H06	1	1	1	0
1195	VGF154_H07	1	1	1	0
1196	VGF154_H08	1	1	1	0
1197	VGF154_H09	1	-1	-1	1
1198	VGF154_H10	1	1	1	0
1199	VGF154_H11	1	1	1	0
1200	VGF155_A02	1	1	1	0
1201	VGF155_A03	1	1	1	0
1202	VGF155_A04	1	1	1	0
1203	VGF155_A05	1	1	1	0
1204	VGF155_A06	1	1	1	0
1205	VGF155_A07	1	-1	1	1
1206	VGF155_A08	1	-1	1	1
1207	VGF155_A09	1	-1	1	1
1208	VGF155_A10	1	1	1	0
1209	VGF155_A11	1	1	1	0
1210	VGF155_B02	1	1	1	0
1211	VGF155_B03	1	1	1	0
1212	VGF155_B04	1	1	1	0
1213	VGF155_B05	1	-1	-1	1
1214	VGF155_B06	1	1	1	0
1215	VGF155_B07	1	1	1	0
1216	VGF155_B08	1	1	1	0
1217	VGF155_B09	1	1	1	0
1218	VGF155_B10	1	1	1	0
1219	VGF155_B11	1	1	1	0
1220	VGF155_C02	1	1	-1	1
1221	VGF155_C03	1	-1	1	1
1222	VGF155_C04	1	1	1	0
1223	VGF155_C05	1	1	1	0
1224	VGF155_C06	1	1	1	0
1225	VGF155_C07	1	1	1	0
1226	VGF155_C08	1	1	1	0
1227	VGF155_C09	1	1	1	0
1228	VGF155_C10	1	1	1	0
1229	VGF155_C11	1	-1	1	1
1230	VGF155_D02	1	1	1	0
1231	VGF155_D03	1	1	1	0
1232	VGF155_D04	1	1	1	0
1233	VGF155_D05	1	1	-1	1
1234	VGF155_D06	1	1	1	0
1235	VGF155_D07	1	1	1	0
1236	VGF155_D08	1	1	1	0
1237	VGF155_D09	1	1	1	0
1238	VGF155_D10	1	1	1	0
1239	VGF155_D11	1	1	1	0
1240	VGF155_E02	1	1	1	0
1241	VGF155_E03	1	1	1	0
1242	VGF155_E04	1	1	1	0
1243	VGF155_E05	1	-1	1	1
1244	VGF155_E06	1	1	1	0
1245	VGF155_E07	1	1	1	0
1246	VGF155_E08	1	1	1	0
1247	VGF155_E09	1	1	1	0
1248	VGF155_E10	1	-1	1	1
1249	VGF155_E11	1	-1	1	1
1250	VGF155_F02	1	1	1	0
1251	VGF155_F03	1	1	1	0
1252	VGF155_F04	1	1	1	0
1253	VGF155_F05	1	-1	1	1
1254	VGF155_F06	1	1	1	0
1255	VGF155_F07	1	1	1	0
1256	VGF155_F08	1	1	1	0
1257	VGF155_F09	1	1	1	0
1258	VGF155_F10	1	1	1	0
1259	VGF155_F11	1	1	1	0
1260	VGF155_G02	1	1	1	0
1261	VGF155_G03	1	1	1	0
1262	VGF155_G04	1	1	1	0
1263	VGF155_G05	1	1	1	0
1264	VGF155_G06	1	1	1	0
1265	VGF155_G07	1	1	1	0
1266	VGF155_G08	1	1	1	0
1267	VGF155_G09	1	1	1	0
1268	VGF155_G10	1	1	1	0
1269	VGF155_G11	1	1	1	0
1270	VGF155_H02	1	1	1	0
1271	VGF155_H03	1	1	1	0
1272	VGF155_H04	1	1	1	0
1273	VGF155_H05	1	1	1	0
1274	VGF155_H06	1	1	1	0
1275	VGF155_H07	1	1	1	0
1276	VGF155_H08	1	-1	1	1
1277	VGF155_H09	1	1	1	0
1278	VGF155_H10	1	1	1	0
1279	VGF155_H11	1	1	1	0
1280	VGF156_A02	1	1	1	0
1281	VGF156_A03	1	-1	1	1
1282	VGF156_A04	1	1	1	0
1283	VGF156_A05	1	1	1	0
1284	VGF156_A06	1	-1	1	1
1285	VGF156_A07	1	1	1	0
1286	VGF156_A08	1	1	1	0
1287	VGF156_A09	1	1	1	0
1288	VGF156_A10	1	1	1	0
1289	VGF156_A11	1	1	1	0
1290	VGF156_B02	1	1	1	0
1291	VGF156_B03	1	1	1	0
1292	VGF156_B04	1	-1	1	1
1293	VGF156_B05	1	1	1	0
1294	VGF156_B06	1	1	1	0
1295	VGF156_B07	1	1	1	0
1296	VGF156_B08	1	1	1	0
1297	VGF156_B09	1	1	1	0
1298	VGF156_B10	1	1	1	0
1299	VGF156_B11	1	-1	1	1
1300	VGF156_C02	1	1	1	0
1301	VGF156_C03	1	1	1	0
1302	VGF156_C04	1	1	1	0
1303	VGF156_C05	1	1	1	0
1304	VGF156_C06	1	1	1	0
1305	VGF156_C07	1	1	1	0
1306	VGF156_C08	1	1	1	0
1307	VGF156_C09	1	1	1	0
1308	VGF156_C10	1	1	1	0
1309	VGF156_C11	1	1	1	0
1310	VGF156_D02	1	1	1	0
1311	VGF156_D03	1	-1	1	1
1312	VGF156_D04	1	1	1	0
1313	VGF156_D05	1	1	1	0
1314	VGF156_D06	1	-1	1	1
1315	VGF156_D07	1	1	1	0
1316	VGF156_D08	1	1	1	0
1317	VGF156_D09	1	-1	1	1
1318	VGF156_D10	1	1	1	0
1319	VGF156_D11	1	1	1	0
1320	VGF156_E02	1	1	1	0
1321	VGF156_E03	1	1	1	0
1322	VGF156_E04	1	1	1	0
1323	VGF156_E05	1	1	1	0
1324	VGF156_E06	1	1	1	0
1325	VGF156_E07	1	1	1	0
1326	VGF156_E08	1	1	1	0
1327	VGF156_E09	1	1	1	0
1328	VGF156_E10	1	1	1	0
1329	VGF156_E11	1	-1	1	1
1330	VGF156_F02	1	1	1	0
1331	VGF156_F03	1	1	1	0
1332	VGF156_F04	1	1	1	0
1333	VGF156_F05	1	1	1	0
1334	VGF156_F06	1	1	1	0
1335	VGF156_F07	1	1	1	0
1336	VGF156_F08	1	1	1	0
1337	VGF156_F09	1	1	1	0
1338	VGF156_F10	1	1	1	0
1339	VGF156_F11	1	-1	1	1
1340	VGF156_G02	1	1	1	0
1341	VGF156_G03	1	1	1	0
1342	VGF156_G04	1	1	1	0
1343	VGF156_G05	1	1	1	0
1344	VGF156_G06	1	1	1	0
1345	VGF156_G07	1	1	-1	1
1346	VGF156_G08	1	1	1	0
1347	VGF156_G09	1	1	1	0
1348	VGF156_G10	1	1	1	0
1349	VGF156_G11	1	1	1	0
1350	VGF156_H02	1	-1	1	1
1351	VGF156_H03	1	1	1	0
1352	VGF156_H04	1	1	1	0
1353	VGF156_H05	1	1	1	0
1354	VGF156_H06	1	1	1	0
1355	VGF156_H07	1	1	1	0
1356	VGF156_H08	1	1	1	0
1357	VGF156_H09	1	1	1	0
1358	VGF156_H10	1	1	1	0
1359	VGF156_H11	1	1	1	0
1360	VGF157_A02	1	1	1	0
1361	VGF157_A03	1	1	1	0
1362	VGF157_A04	1	1	1	0
1363	VGF157_A05	1	1	1	0
1364	VGF157_A06	1	1	1	0
1365	VGF157_A07	1	1	1	0
1366	VGF157_A08	1	1	1	0
1367	VGF157_A09	1	-1	1	1
1368	VGF157_A10	1	1	1	0
1369	VGF157_A11	1	1	1	0
1370	VGF157_B02	1	1	1	0
1371	VGF157_B03	1	1	1	0
1372	VGF157_B04	1	1	1	0
1373	VGF157_B05	1	-1	1	1
1374	VGF157_B06	1	1	1	0
1375	VGF157_B07	1	1	1	0
1376	VGF157_B08	1	1	1	0
1377	VGF157_B09	1	1	1	0
1378	VGF157_B10	1	1	1	0
1379	VGF157_B11	1	1	1	0
1380	VGF157_C02	1	1	1	0
1381	VGF157_C03	1	-1	1	1
1382	VGF157_C04	1	1	1	0
1383	VGF157_C05	1	1	1	0
1384	VGF157_C06	1	1	1	0
1385	VGF157_C07	1	1	1	0
1386	VGF157_C08	1	1	1	0
1387	VGF157_C09	1	1	1	0
1388	VGF157_C10	1	1	1	0
1389	VGF157_C11	1	1	1	0
1390	VGF157_D02	1	-1	1	1
1391	VGF157_D03	1	-1	1	1
1392	VGF157_D04	1	1	1	0
1393	VGF157_D05	1	1	1	0
1394	VGF157_D06	1	1	1	0
1395	VGF157_D07	1	1	1	0
1396	VGF157_D08	1	-1	1	1
1397	VGF157_D09	1	1	1	0
1398	VGF157_D10	1	1	1	0
1399	VGF157_D11	1	1	1	0
1400	VGF157_E02	1	-1	1	1
1401	VGF157_E03	1	1	1	0
1402	VGF157_E04	1	1	1	0
1403	VGF157_E05	1	-1	1	1
1404	VGF157_E06	1	1	1	0
1405	VGF157_E07	1	1	1	0
1406	VGF157_E08	1	-1	1	1
1407	VGF157_E09	1	1	1	0
1408	VGF157_E10	1	1	1	0
1409	VGF157_E11	1	1	1	0
1410	VGF157_F02	1	1	1	0
1411	VGF157_F03	1	1	1	0
1412	VGF157_F04	1	1	1	0
1413	VGF157_F05	1	1	1	0
1414	VGF157_F06	1	-1	1	1
