	filename	NPC#class	ATTRIBUTE_Species	ATTRIBUTE_Genus	ATTRIBUTE_Family	Chemical_class_reported_in_species	Chemical_class_reported_in_genus	New_CC_in_sp	New_CC_in_genus	CCs	CCg	CC
26	LQ-01-61-27_pos.mzXML	{'Simple phenolic acids'}	Euonymus fortunei	Euonymus	Celastraceae	{'Aporphine alkaloids|Isoquinoline alkaloids', 'Agarofuran sesquiterpenoids|Pyridine alkaloids', 'Pyridine alkaloids', 'Agarofuran sesquiterpenoids', 'Monosaccharides', 'Friedelane triterpenoids', 'Pyridine alkaloids|Terpenoid alkaloids'}	{'Aporphine alkaloids|Isoquinoline alkaloids', 'Cinnamic acids and derivatives|Phenylethanoids', 'Cardenolides', 'Agarofuran sesquiterpenoids|Pyridine alkaloids', 'Ursane and Taraxastane triterpenoids', 'Neolignans', 'Monosaccharides', 'Furofuranoid lignans', 'Oleanane triterpenoids', 'Pyridine alkaloids', 'Arylnaphthalene and aryltetralin lignans', 'Agarofuran sesquiterpenoids', 'Flavonols', 'Cinnamic acids and derivatives', 'Furofuranoid lignans|Neolignans', 'Friedelane triterpenoids', 'Pyridine alkaloids|Terpenoid alkaloids'}	{'Simple phenolic acids'}	{'Simple phenolic acids'}	0.5	0.5	1.0
27	LQ-01-61-28_pos.mzXML	{'Hydroxy fatty acids', 'Other Octadecanoids', 'Unsaturated fatty acids'}	Euonymus grandiflorus	Euonymus	Celastraceae	{'Pyridine alkaloids'}	{'Aporphine alkaloids|Isoquinoline alkaloids', 'Cinnamic acids and derivatives|Phenylethanoids', 'Cardenolides', 'Agarofuran sesquiterpenoids|Pyridine alkaloids', 'Ursane and Taraxastane triterpenoids', 'Neolignans', 'Monosaccharides', 'Furofuranoid lignans', 'Oleanane triterpenoids', 'Pyridine alkaloids', 'Arylnaphthalene and aryltetralin lignans', 'Agarofuran sesquiterpenoids', 'Flavonols', 'Cinnamic acids and derivatives', 'Furofuranoid lignans|Neolignans', 'Friedelane triterpenoids', 'Pyridine alkaloids|Terpenoid alkaloids'}	{'Hydroxy fatty acids', 'Other Octadecanoids', 'Unsaturated fatty acids'}	{'Hydroxy fatty acids', 'Other Octadecanoids', 'Unsaturated fatty acids'}	0.5	0.5	1.0
28	LQ-01-61-29_pos.mzXML	{'Flavones'}	Euonymus alatus	Euonymus	Celastraceae	{'Cinnamic acids and derivatives|Phenylethanoids', 'Cardenolides', 'Ursane and Taraxastane triterpenoids', 'Neolignans', 'Monosaccharides', 'Furofuranoid lignans', 'Oleanane triterpenoids', 'Pyridine alkaloids', 'Arylnaphthalene and aryltetralin lignans', 'Agarofuran sesquiterpenoids', 'Flavonols', 'Cinnamic acids and derivatives', 'Furofuranoid lignans|Neolignans', 'Friedelane triterpenoids'}	{'Aporphine alkaloids|Isoquinoline alkaloids', 'Cinnamic acids and derivatives|Phenylethanoids', 'Cardenolides', 'Agarofuran sesquiterpenoids|Pyridine alkaloids', 'Ursane and Taraxastane triterpenoids', 'Neolignans', 'Monosaccharides', 'Furofuranoid lignans', 'Oleanane triterpenoids', 'Pyridine alkaloids', 'Arylnaphthalene and aryltetralin lignans', 'Agarofuran sesquiterpenoids', 'Flavonols', 'Cinnamic acids and derivatives', 'Furofuranoid lignans|Neolignans', 'Friedelane triterpenoids', 'Pyridine alkaloids|Terpenoid alkaloids'}	{'Flavones'}	{'Flavones'}	0.5	0.5	1.0
29	LQ-01-61-30_pos.mzXML	{'Agarofuran sesquiterpenoids'}	Euonymus alatus	Euonymus	Celastraceae	{'Cinnamic acids and derivatives|Phenylethanoids', 'Cardenolides', 'Ursane and Taraxastane triterpenoids', 'Neolignans', 'Monosaccharides', 'Furofuranoid lignans', 'Oleanane triterpenoids', 'Pyridine alkaloids', 'Arylnaphthalene and aryltetralin lignans', 'Agarofuran sesquiterpenoids', 'Flavonols', 'Cinnamic acids and derivatives', 'Furofuranoid lignans|Neolignans', 'Friedelane triterpenoids'}	{'Aporphine alkaloids|Isoquinoline alkaloids', 'Cinnamic acids and derivatives|Phenylethanoids', 'Cardenolides', 'Agarofuran sesquiterpenoids|Pyridine alkaloids', 'Ursane and Taraxastane triterpenoids', 'Neolignans', 'Monosaccharides', 'Furofuranoid lignans', 'Oleanane triterpenoids', 'Pyridine alkaloids', 'Arylnaphthalene and aryltetralin lignans', 'Agarofuran sesquiterpenoids', 'Flavonols', 'Cinnamic acids and derivatives', 'Furofuranoid lignans|Neolignans', 'Friedelane triterpenoids', 'Pyridine alkaloids|Terpenoid alkaloids'}	set()	set()	0.5	0.5	1.0
30	LQ-01-61-31_pos.mzXML	{'Dammarane and Protostane triterpenoids', 'Flavanones', 'Agarofuran sesquiterpenoids'}	Euonymus frigidus	Euonymus	Celastraceae	nothing in DB	{'Aporphine alkaloids|Isoquinoline alkaloids', 'Cinnamic acids and derivatives|Phenylethanoids', 'Cardenolides', 'Agarofuran sesquiterpenoids|Pyridine alkaloids', 'Ursane and Taraxastane triterpenoids', 'Neolignans', 'Monosaccharides', 'Furofuranoid lignans', 'Oleanane triterpenoids', 'Pyridine alkaloids', 'Arylnaphthalene and aryltetralin lignans', 'Agarofuran sesquiterpenoids', 'Flavonols', 'Cinnamic acids and derivatives', 'Furofuranoid lignans|Neolignans', 'Friedelane triterpenoids', 'Pyridine alkaloids|Terpenoid alkaloids'}	nothing in DB	nothing in DB	0.0	0.0	0.0
31	LQ-01-61-32_pos.mzXML	{'Cinnamic acids and derivatives', 'Oleanane triterpenoids', 'Agarofuran sesquiterpenoids'}	Euonymus frigidus	Euonymus	Celastraceae	nothing in DB	{'Aporphine alkaloids|Isoquinoline alkaloids', 'Cinnamic acids and derivatives|Phenylethanoids', 'Cardenolides', 'Agarofuran sesquiterpenoids|Pyridine alkaloids', 'Ursane and Taraxastane triterpenoids', 'Neolignans', 'Monosaccharides', 'Furofuranoid lignans', 'Oleanane triterpenoids', 'Pyridine alkaloids', 'Arylnaphthalene and aryltetralin lignans', 'Agarofuran sesquiterpenoids', 'Flavonols', 'Cinnamic acids and derivatives', 'Furofuranoid lignans|Neolignans', 'Friedelane triterpenoids', 'Pyridine alkaloids|Terpenoid alkaloids'}	nothing in DB	nothing in DB	0.0	0.0	0.0
32	LQ-01-61-33_pos.mzXML	{'Hydroxy fatty acids', 'Cinnamic acids and derivatives', 'Other Octadecanoids', 'Agarofuran sesquiterpenoids'}	Euonymus frigidus	Euonymus	Celastraceae	nothing in DB	{'Aporphine alkaloids|Isoquinoline alkaloids', 'Cinnamic acids and derivatives|Phenylethanoids', 'Cardenolides', 'Agarofuran sesquiterpenoids|Pyridine alkaloids', 'Ursane and Taraxastane triterpenoids', 'Neolignans', 'Monosaccharides', 'Furofuranoid lignans', 'Oleanane triterpenoids', 'Pyridine alkaloids', 'Arylnaphthalene and aryltetralin lignans', 'Agarofuran sesquiterpenoids', 'Flavonols', 'Cinnamic acids and derivatives', 'Furofuranoid lignans|Neolignans', 'Friedelane triterpenoids', 'Pyridine alkaloids|Terpenoid alkaloids'}	nothing in DB	nothing in DB	0.0	0.0	0.0
33	LQ-01-61-34_pos.mzXML	{'Labdane diterpenoids', 'Simple coumarins'}	Euonymus myrianthus	Euonymus	Celastraceae	nothing in DB	{'Aporphine alkaloids|Isoquinoline alkaloids', 'Cinnamic acids and derivatives|Phenylethanoids', 'Cardenolides', 'Agarofuran sesquiterpenoids|Pyridine alkaloids', 'Ursane and Taraxastane triterpenoids', 'Neolignans', 'Monosaccharides', 'Furofuranoid lignans', 'Oleanane triterpenoids', 'Pyridine alkaloids', 'Arylnaphthalene and aryltetralin lignans', 'Agarofuran sesquiterpenoids', 'Flavonols', 'Cinnamic acids and derivatives', 'Furofuranoid lignans|Neolignans', 'Friedelane triterpenoids', 'Pyridine alkaloids|Terpenoid alkaloids'}	nothing in DB	nothing in DB	0.0	0.0	0.0
34	LQ-01-61-35_pos.mzXML	{'Isoquinoline alkaloids'}	Euonymus myrianthus	Euonymus	Celastraceae	nothing in DB	{'Aporphine alkaloids|Isoquinoline alkaloids', 'Cinnamic acids and derivatives|Phenylethanoids', 'Cardenolides', 'Agarofuran sesquiterpenoids|Pyridine alkaloids', 'Ursane and Taraxastane triterpenoids', 'Neolignans', 'Monosaccharides', 'Furofuranoid lignans', 'Oleanane triterpenoids', 'Pyridine alkaloids', 'Arylnaphthalene and aryltetralin lignans', 'Agarofuran sesquiterpenoids', 'Flavonols', 'Cinnamic acids and derivatives', 'Furofuranoid lignans|Neolignans', 'Friedelane triterpenoids', 'Pyridine alkaloids|Terpenoid alkaloids'}	nothing in DB	nothing in DB	0.0	0.0	0.0
35	LQ-01-61-36_pos.mzXML		Euonymus myrianthus	Euonymus	Celastraceae	nothing in DB	{'Aporphine alkaloids|Isoquinoline alkaloids', 'Cinnamic acids and derivatives|Phenylethanoids', 'Cardenolides', 'Agarofuran sesquiterpenoids|Pyridine alkaloids', 'Ursane and Taraxastane triterpenoids', 'Neolignans', 'Monosaccharides', 'Furofuranoid lignans', 'Oleanane triterpenoids', 'Pyridine alkaloids', 'Arylnaphthalene and aryltetralin lignans', 'Agarofuran sesquiterpenoids', 'Flavonols', 'Cinnamic acids and derivatives', 'Furofuranoid lignans|Neolignans', 'Friedelane triterpenoids', 'Pyridine alkaloids|Terpenoid alkaloids'}	nothing in DB	nothing in DB	0.0	0.0	0.0
36	LQ-01-61-37_pos.mzXML	{'Cholestane steroids', 'Other Octadecanoids', 'Agarofuran sesquiterpenoids'}	Euonymus sanguineus	Euonymus	Celastraceae	{'Pyridine alkaloids'}	{'Aporphine alkaloids|Isoquinoline alkaloids', 'Cinnamic acids and derivatives|Phenylethanoids', 'Cardenolides', 'Agarofuran sesquiterpenoids|Pyridine alkaloids', 'Ursane and Taraxastane triterpenoids', 'Neolignans', 'Monosaccharides', 'Furofuranoid lignans', 'Oleanane triterpenoids', 'Pyridine alkaloids', 'Arylnaphthalene and aryltetralin lignans', 'Agarofuran sesquiterpenoids', 'Flavonols', 'Cinnamic acids and derivatives', 'Furofuranoid lignans|Neolignans', 'Friedelane triterpenoids', 'Pyridine alkaloids|Terpenoid alkaloids'}	{'Cholestane steroids', 'Other Octadecanoids', 'Agarofuran sesquiterpenoids'}	{'Cholestane steroids', 'Other Octadecanoids'}	0.5	0.5	1.0
37	LQ-01-61-38_pos.mzXML		Euonymus sanguineus	Euonymus	Celastraceae	{'Pyridine alkaloids'}	{'Aporphine alkaloids|Isoquinoline alkaloids', 'Cinnamic acids and derivatives|Phenylethanoids', 'Cardenolides', 'Agarofuran sesquiterpenoids|Pyridine alkaloids', 'Ursane and Taraxastane triterpenoids', 'Neolignans', 'Monosaccharides', 'Furofuranoid lignans', 'Oleanane triterpenoids', 'Pyridine alkaloids', 'Arylnaphthalene and aryltetralin lignans', 'Agarofuran sesquiterpenoids', 'Flavonols', 'Cinnamic acids and derivatives', 'Furofuranoid lignans|Neolignans', 'Friedelane triterpenoids', 'Pyridine alkaloids|Terpenoid alkaloids'}	nothing in DB	nothing in DB	0.0	0.0	0.0
38	LQ-01-61-39_pos.mzXML		Euonymus sanguineus	Euonymus	Celastraceae	{'Pyridine alkaloids'}	{'Aporphine alkaloids|Isoquinoline alkaloids', 'Cinnamic acids and derivatives|Phenylethanoids', 'Cardenolides', 'Agarofuran sesquiterpenoids|Pyridine alkaloids', 'Ursane and Taraxastane triterpenoids', 'Neolignans', 'Monosaccharides', 'Furofuranoid lignans', 'Oleanane triterpenoids', 'Pyridine alkaloids', 'Arylnaphthalene and aryltetralin lignans', 'Agarofuran sesquiterpenoids', 'Flavonols', 'Cinnamic acids and derivatives', 'Furofuranoid lignans|Neolignans', 'Friedelane triterpenoids', 'Pyridine alkaloids|Terpenoid alkaloids'}	nothing in DB	nothing in DB	0.0	0.0	0.0
39	LQ-01-61-40_pos.mzXML		Loeseneriella urceolus	Loeseneriella	Celastraceae	nothing in DB	nothing in DB	nothing in DB	nothing in DB	0.0	0.0	0.0
40	LQ-01-61-41_pos.mzXML	{'Open-chain polyketides', 'Monoacylglycerols', 'Agarofuran sesquiterpenoids'}	Loeseneriella concinna	Loeseneriella	Celastraceae	nothing in DB	nothing in DB	nothing in DB	nothing in DB	0.0	0.0	0.0
41	LQ-01-61-42_pos.mzXML		Loeseneriella concinna	Loeseneriella	Celastraceae	nothing in DB	nothing in DB	nothing in DB	nothing in DB	0.0	0.0	0.0
42	LQ-01-61-43_pos.mzXML	{'Oleanane triterpenoids'}	Gymnosporia buchananii	Gymnosporia	Celastraceae	{'Pyridine alkaloids', 'Ansa macrolides'}	{'Pyrrolidine alkaloids', 'Simple coumarins', 'Ansa macrolides', 'Oleanane triterpenoids', 'Pyridine alkaloids', 'Dihydroflavonols', 'Disaccharides', 'Fatty alcohols', 'Stigmastane steroids', 'Flavan-3-ols', 'Acyl phloroglucinols', 'Proanthocyanins'}	{'Oleanane triterpenoids'}	set()	0.5	0.5	1.0
43	LQ-01-61-44_pos.mzXML		Gymnosporia buchananii	Gymnosporia	Celastraceae	{'Pyridine alkaloids', 'Ansa macrolides'}	{'Pyrrolidine alkaloids', 'Simple coumarins', 'Ansa macrolides', 'Oleanane triterpenoids', 'Pyridine alkaloids', 'Dihydroflavonols', 'Disaccharides', 'Fatty alcohols', 'Stigmastane steroids', 'Flavan-3-ols', 'Acyl phloroglucinols', 'Proanthocyanins'}	nothing in DB	nothing in DB	0.0	0.0	0.0
44	LQ-01-61-45_pos.mzXML	{'Pregnane steroids', 'Other Octadecanoids', 'Monoacylglycerols', 'Agarofuran sesquiterpenoids'}	Gymnosporia buxifolia	Gymnosporia	Celastraceae	nothing in DB	{'Pyrrolidine alkaloids', 'Simple coumarins', 'Ansa macrolides', 'Oleanane triterpenoids', 'Pyridine alkaloids', 'Dihydroflavonols', 'Disaccharides', 'Fatty alcohols', 'Stigmastane steroids', 'Flavan-3-ols', 'Acyl phloroglucinols', 'Proanthocyanins'}	nothing in DB	nothing in DB	0.0	0.0	0.0
45	LQ-01-61-46_pos.mzXML	{'Unsaturated fatty acids'}	Maytenus inermis	Maytenus	Celastraceae	nothing in DB	{'Oleanane triterpenoids', 'Lanostane, Tirucallane and Euphane triterpenoids|Oleanane triterpenoids'}	nothing in DB	nothing in DB	0.0	0.0	0.0
46	LQ-01-61-47_pos.mzXML	{'Unsaturated fatty acids', 'Agarofuran sesquiterpenoids'}	Maytenus inermis	Maytenus	Celastraceae	nothing in DB	{'Oleanane triterpenoids', 'Lanostane, Tirucallane and Euphane triterpenoids|Oleanane triterpenoids'}	nothing in DB	nothing in DB	0.0	0.0	0.0
47	LQ-01-61-48_pos.mzXML	{'Proanthocyanins', 'Apocarotenoids (β-)'}	Gymnosporia buxifolia	Gymnosporia	Celastraceae	nothing in DB	{'Pyrrolidine alkaloids', 'Simple coumarins', 'Ansa macrolides', 'Oleanane triterpenoids', 'Pyridine alkaloids', 'Dihydroflavonols', 'Disaccharides', 'Fatty alcohols', 'Stigmastane steroids', 'Flavan-3-ols', 'Acyl phloroglucinols', 'Proanthocyanins'}	nothing in DB	nothing in DB	0.0	0.0	0.0
48	LQ-01-61-49_pos.mzXML		Gymnosporia buxifolia	Gymnosporia	Celastraceae	nothing in DB	{'Pyrrolidine alkaloids', 'Simple coumarins', 'Ansa macrolides', 'Oleanane triterpenoids', 'Pyridine alkaloids', 'Dihydroflavonols', 'Disaccharides', 'Fatty alcohols', 'Stigmastane steroids', 'Flavan-3-ols', 'Acyl phloroglucinols', 'Proanthocyanins'}	nothing in DB	nothing in DB	0.0	0.0	0.0
49	LQ-01-61-50_pos.mzXML	{'Proanthocyanins'}	Gymnosporia buxifolia	Gymnosporia	Celastraceae	nothing in DB	{'Pyrrolidine alkaloids', 'Simple coumarins', 'Ansa macrolides', 'Oleanane triterpenoids', 'Pyridine alkaloids', 'Dihydroflavonols', 'Disaccharides', 'Fatty alcohols', 'Stigmastane steroids', 'Flavan-3-ols', 'Acyl phloroglucinols', 'Proanthocyanins'}	nothing in DB	nothing in DB	0.0	0.0	0.0
50	LQ-01-61-51_pos.mzXML	{'Unsaturated fatty acids', 'Apocarotenoids (β-)', 'Aminoacids', 'Hydroxy fatty acids', 'Cinnamic acids and derivatives', 'Fatty alcohols', 'Dammarane and Protostane triterpenoids', 'Iridoids monoterpenoids'}	Gymnosporia graciliramula	Gymnosporia	Celastraceae	nothing in DB	{'Pyrrolidine alkaloids', 'Simple coumarins', 'Ansa macrolides', 'Oleanane triterpenoids', 'Pyridine alkaloids', 'Dihydroflavonols', 'Disaccharides', 'Fatty alcohols', 'Stigmastane steroids', 'Flavan-3-ols', 'Acyl phloroglucinols', 'Proanthocyanins'}	nothing in DB	nothing in DB	0.0	0.0	0.0
51	LQ-01-61-52_pos.mzXML		Gymnosporia senegalensis	Gymnosporia	Celastraceae	{'Pyrrolidine alkaloids', 'Simple coumarins', 'Oleanane triterpenoids', 'Dihydroflavonols', 'Disaccharides', 'Fatty alcohols', 'Stigmastane steroids', 'Flavan-3-ols', 'Acyl phloroglucinols', 'Proanthocyanins'}	{'Pyrrolidine alkaloids', 'Simple coumarins', 'Ansa macrolides', 'Oleanane triterpenoids', 'Pyridine alkaloids', 'Dihydroflavonols', 'Disaccharides', 'Fatty alcohols', 'Stigmastane steroids', 'Flavan-3-ols', 'Acyl phloroglucinols', 'Proanthocyanins'}	nothing in DB	nothing in DB	0.0	0.0	0.0
52	LQ-01-61-53_pos.mzXML	{'Cholestane steroids'}	Gymnosporia senegalensis	Gymnosporia	Celastraceae	{'Pyrrolidine alkaloids', 'Simple coumarins', 'Oleanane triterpenoids', 'Dihydroflavonols', 'Disaccharides', 'Fatty alcohols', 'Stigmastane steroids', 'Flavan-3-ols', 'Acyl phloroglucinols', 'Proanthocyanins'}	{'Pyrrolidine alkaloids', 'Simple coumarins', 'Ansa macrolides', 'Oleanane triterpenoids', 'Pyridine alkaloids', 'Dihydroflavonols', 'Disaccharides', 'Fatty alcohols', 'Stigmastane steroids', 'Flavan-3-ols', 'Acyl phloroglucinols', 'Proanthocyanins'}	{'Cholestane steroids'}	{'Cholestane steroids'}	0.5	0.5	1.0
53	LQ-01-61-54_pos.mzXML	{'Agarofuran sesquiterpenoids'}	Maytenus undata	Maytenus	Celastraceae	{'Oleanane triterpenoids', 'Lanostane, Tirucallane and Euphane triterpenoids|Oleanane triterpenoids'}	{'Oleanane triterpenoids', 'Lanostane, Tirucallane and Euphane triterpenoids|Oleanane triterpenoids'}	{'Agarofuran sesquiterpenoids'}	{'Agarofuran sesquiterpenoids'}	0.5	0.5	1.0
54	LQ-01-61-55_pos.mzXML	{'Dicarboxylic acids', 'Agarofuran sesquiterpenoids'}	Maytenus undata	Maytenus	Celastraceae	{'Oleanane triterpenoids', 'Lanostane, Tirucallane and Euphane triterpenoids|Oleanane triterpenoids'}	{'Oleanane triterpenoids', 'Lanostane, Tirucallane and Euphane triterpenoids|Oleanane triterpenoids'}	{'Agarofuran sesquiterpenoids', 'Dicarboxylic acids'}	{'Dicarboxylic acids', 'Agarofuran sesquiterpenoids'}	0.5	0.5	1.0
55	LQ-01-61-56_pos.mzXML	{'Dicarboxylic acids', 'Prostaglandins', 'Monoacylglycerols', 'Other Octadecanoids', 'Agarofuran sesquiterpenoids', 'Cinnamic acids and derivatives', 'Proanthocyanins'}	Maytenus undata	Maytenus	Celastraceae	{'Oleanane triterpenoids', 'Lanostane, Tirucallane and Euphane triterpenoids|Oleanane triterpenoids'}	{'Oleanane triterpenoids', 'Lanostane, Tirucallane and Euphane triterpenoids|Oleanane triterpenoids'}	{'Dicarboxylic acids', 'Monoacylglycerols', 'Other Octadecanoids', 'Prostaglandins', 'Cinnamic acids and derivatives', 'Agarofuran sesquiterpenoids', 'Proanthocyanins'}	{'Dicarboxylic acids', 'Monoacylglycerols', 'Other Octadecanoids', 'Prostaglandins', 'Cinnamic acids and derivatives', 'Agarofuran sesquiterpenoids', 'Proanthocyanins'}	0.5	0.5	1.0
56	LQ-01-61-57_pos.mzXML		Microtropis triflora	Microtropis	Celastraceae	{'Friedelane triterpenoids', 'Friedelane triterpenoids|Ursane and Taraxastane triterpenoids'}	{'Friedelane triterpenoids', 'Friedelane triterpenoids|Ursane and Taraxastane triterpenoids'}	nothing in DB	nothing in DB	0.0	0.0	0.0
57	LQ-01-61-58_pos.mzXML	{'Lupane triterpenoids'}	Microtropis triflora	Microtropis	Celastraceae	{'Friedelane triterpenoids', 'Friedelane triterpenoids|Ursane and Taraxastane triterpenoids'}	{'Friedelane triterpenoids', 'Friedelane triterpenoids|Ursane and Taraxastane triterpenoids'}	{'Lupane triterpenoids'}	{'Lupane triterpenoids'}	0.5	0.5	1.0
58	LQ-01-61-59_pos.mzXML	{'Agarofuran sesquiterpenoids'}	Microtropis triflora	Microtropis	Celastraceae	{'Friedelane triterpenoids', 'Friedelane triterpenoids|Ursane and Taraxastane triterpenoids'}	{'Friedelane triterpenoids', 'Friedelane triterpenoids|Ursane and Taraxastane triterpenoids'}	{'Agarofuran sesquiterpenoids'}	{'Agarofuran sesquiterpenoids'}	0.5	0.5	1.0
59	LQ-01-61-60_pos.mzXML	{'Other Octadecanoids'}	Mystroxylon aethiopicum	Mystroxylon	Celastraceae	nothing in DB	nothing in DB	nothing in DB	nothing in DB	0.0	0.0	0.0
60	LQ-01-61-61_pos.mzXML	{'Monoacylglycerols'}	Mystroxylon aethiopicum	Mystroxylon	Celastraceae	nothing in DB	nothing in DB	nothing in DB	nothing in DB	0.0	0.0	0.0
61	LQ-01-61-62_pos.mzXML		Pleurostylia africana	Pleurostylia	Celastraceae	{'Polyamines'}	{'Polyamines'}	nothing in DB	nothing in DB	0.0	0.0	0.0
62	LQ-01-61-63_pos.mzXML	{'Monoacylglycerols', 'Unsaturated fatty acids', 'Dicarboxylic acids'}	Pleurostylia pachyphloea	Pleurostylia	Celastraceae	nothing in DB	{'Polyamines'}	nothing in DB	nothing in DB	0.0	0.0	0.0
63	LQ-01-61-64_pos.mzXML	{'Hydroxy fatty acids', 'Other Octadecanoids', 'Monoacylglycerols', 'Dicarboxylic acids'}	Pleurostylia pachyphloea	Pleurostylia	Celastraceae	nothing in DB	{'Polyamines'}	nothing in DB	nothing in DB	0.0	0.0	0.0
64	LQ-01-61-65_pos.mzXML		Salacia chinensis	Salacia	Celastraceae	{'Clovane sesquiterpenoids', 'Apocarotenoids(ε-)', 'Ursane and Taraxastane triterpenoids', 'Agarofuran sesquiterpenoids|Eudesmane sesquiterpenoids', 'Neolignans', 'Megastigmanes', 'Apocarotenoids(ε-)|Megastigmanes', 'Bauerane triterpenoids|Taraxerane triterpenoids|Ursane and Taraxastane triterpenoids', 'Agarofuran sesquiterpenoids', 'Baccharane triterpenoids', 'Flavan-3-ols', 'Friedelane triterpenoids|Pachysanane triterpenoids', 'Dammarane and Protostane triterpenoids', 'Furanoid lignans', 'Simple phenolic acids', 'Lactones', 'Oleanane triterpenoids', 'Caryolane sesquiterpenoids', 'Cinnamic acids and derivatives', 'Friedelane triterpenoids', 'Fatty acyl glycosides of mono- and disaccharides', 'Monosaccharides', 'Pachysanane triterpenoids', 'Lupane triterpenoids', 'Oleanane triterpenoids|Ursane and Taraxastane triterpenoids', 'Flavones', 'Acyclic triterpenoids', 'Acyl phloroglucinols', 'Phenylethanoids', 'Menthane monoterpenoids', 'Plant xanthones', 'Furofuranoid lignans', 'Cyclitols', 'Arylnaphthalene and aryltetralin lignans', 'Flavonols'}	{'Clovane sesquiterpenoids', 'Apocarotenoids(ε-)', 'Ursane and Taraxastane triterpenoids', 'Agarofuran sesquiterpenoids|Eudesmane sesquiterpenoids', 'Neolignans', 'Megastigmanes', 'Apocarotenoids(ε-)|Megastigmanes', 'Bauerane triterpenoids|Taraxerane triterpenoids|Ursane and Taraxastane triterpenoids', 'Agarofuran sesquiterpenoids', 'Baccharane triterpenoids', 'Flavan-3-ols', 'Friedelane triterpenoids|Pachysanane triterpenoids', 'Dammarane and Protostane triterpenoids', 'Furanoid lignans', 'Simple phenolic acids', 'Lactones', 'Oleanane triterpenoids', 'Caryolane sesquiterpenoids', 'Cinnamic acids and derivatives', 'Friedelane triterpenoids', 'Fatty acyl glycosides of mono- and disaccharides', 'Monosaccharides', 'Pachysanane triterpenoids', 'Lupane triterpenoids', 'Oleanane triterpenoids|Ursane and Taraxastane triterpenoids', 'Flavones', 'Acyclic triterpenoids', 'Acyl phloroglucinols', 'Phenylethanoids', 'Menthane monoterpenoids', 'Plant xanthones', 'Furofuranoid lignans', 'Cyclitols', 'Arylnaphthalene and aryltetralin lignans', 'Flavonols'}	nothing in DB	nothing in DB	0.0	0.0	0.0
65	LQ-01-61-66_pos.mzXML	{'Tetraketide meroterpenoids', 'Agarofuran sesquiterpenoids'}	Salacia chinensis	Salacia	Celastraceae	{'Clovane sesquiterpenoids', 'Apocarotenoids(ε-)', 'Ursane and Taraxastane triterpenoids', 'Agarofuran sesquiterpenoids|Eudesmane sesquiterpenoids', 'Neolignans', 'Megastigmanes', 'Apocarotenoids(ε-)|Megastigmanes', 'Bauerane triterpenoids|Taraxerane triterpenoids|Ursane and Taraxastane triterpenoids', 'Agarofuran sesquiterpenoids', 'Baccharane triterpenoids', 'Flavan-3-ols', 'Friedelane triterpenoids|Pachysanane triterpenoids', 'Dammarane and Protostane triterpenoids', 'Furanoid lignans', 'Simple phenolic acids', 'Lactones', 'Oleanane triterpenoids', 'Caryolane sesquiterpenoids', 'Cinnamic acids and derivatives', 'Friedelane triterpenoids', 'Fatty acyl glycosides of mono- and disaccharides', 'Monosaccharides', 'Pachysanane triterpenoids', 'Lupane triterpenoids', 'Oleanane triterpenoids|Ursane and Taraxastane triterpenoids', 'Flavones', 'Acyclic triterpenoids', 'Acyl phloroglucinols', 'Phenylethanoids', 'Menthane monoterpenoids', 'Plant xanthones', 'Furofuranoid lignans', 'Cyclitols', 'Arylnaphthalene and aryltetralin lignans', 'Flavonols'}	{'Clovane sesquiterpenoids', 'Apocarotenoids(ε-)', 'Ursane and Taraxastane triterpenoids', 'Agarofuran sesquiterpenoids|Eudesmane sesquiterpenoids', 'Neolignans', 'Megastigmanes', 'Apocarotenoids(ε-)|Megastigmanes', 'Bauerane triterpenoids|Taraxerane triterpenoids|Ursane and Taraxastane triterpenoids', 'Agarofuran sesquiterpenoids', 'Baccharane triterpenoids', 'Flavan-3-ols', 'Friedelane triterpenoids|Pachysanane triterpenoids', 'Dammarane and Protostane triterpenoids', 'Furanoid lignans', 'Simple phenolic acids', 'Lactones', 'Oleanane triterpenoids', 'Caryolane sesquiterpenoids', 'Cinnamic acids and derivatives', 'Friedelane triterpenoids', 'Fatty acyl glycosides of mono- and disaccharides', 'Monosaccharides', 'Pachysanane triterpenoids', 'Lupane triterpenoids', 'Oleanane triterpenoids|Ursane and Taraxastane triterpenoids', 'Flavones', 'Acyclic triterpenoids', 'Acyl phloroglucinols', 'Phenylethanoids', 'Menthane monoterpenoids', 'Plant xanthones', 'Furofuranoid lignans', 'Cyclitols', 'Arylnaphthalene and aryltetralin lignans', 'Flavonols'}	{'Tetraketide meroterpenoids'}	{'Tetraketide meroterpenoids'}	0.5	0.5	1.0
