	filename	NPC#class	ATTRIBUTE_Species	ATTRIBUTE_Genus	ATTRIBUTE_Family	Chemical_class_reported_in_species	Chemical_class_reported_in_genus	New_CC_in_sp	New_CC_in_genus	CCs	CCg	CC
10	LQ-01-61-11_pos.mzXML	{'Flavones'}	Elaeodendron schweinfurthianum	Elaeodendron	Celastraceae	nothing in DB	nothing in DB	nothing in DB	nothing in DB	0.0	0.0	0.0
11	LQ-01-61-12_pos.mzXML		Evonymopsis sp	Evonymopsis	Celastraceae	nothing in DB	nothing in DB	nothing in DB	nothing in DB	0.0	0.0	0.0
12	LQ-01-61-13_pos.mzXML	{'Dammarane and Protostane triterpenoids'}	Evonymopsis sp	Evonymopsis	Celastraceae	nothing in DB	nothing in DB	nothing in DB	nothing in DB	0.0	0.0	0.0
13	LQ-01-61-14_pos.mzXML	{'Agarofuran sesquiterpenoids'}	Evonymopsis sp	Evonymopsis	Celastraceae	nothing in DB	nothing in DB	nothing in DB	nothing in DB	0.0	0.0	0.0
14	LQ-01-61-15_pos.mzXML		Euonymus alatus	Euonymus	Celastraceae	{'Cinnamic acids and derivatives|Phenylethanoids', 'Cardenolides', 'Ursane and Taraxastane triterpenoids', 'Neolignans', 'Monosaccharides', 'Furofuranoid lignans', 'Oleanane triterpenoids', 'Pyridine alkaloids', 'Arylnaphthalene and aryltetralin lignans', 'Agarofuran sesquiterpenoids', 'Flavonols', 'Cinnamic acids and derivatives', 'Furofuranoid lignans|Neolignans', 'Friedelane triterpenoids'}	{'Aporphine alkaloids|Isoquinoline alkaloids', 'Cinnamic acids and derivatives|Phenylethanoids', 'Cardenolides', 'Agarofuran sesquiterpenoids|Pyridine alkaloids', 'Ursane and Taraxastane triterpenoids', 'Neolignans', 'Monosaccharides', 'Furofuranoid lignans', 'Oleanane triterpenoids', 'Pyridine alkaloids', 'Arylnaphthalene and aryltetralin lignans', 'Agarofuran sesquiterpenoids', 'Flavonols', 'Cinnamic acids and derivatives', 'Furofuranoid lignans|Neolignans', 'Friedelane triterpenoids', 'Pyridine alkaloids|Terpenoid alkaloids'}	nothing in DB	nothing in DB	0.0	0.0	0.0
15	LQ-01-61-16_pos.mzXML		Euonymus alatus	Euonymus	Celastraceae	{'Cinnamic acids and derivatives|Phenylethanoids', 'Cardenolides', 'Ursane and Taraxastane triterpenoids', 'Neolignans', 'Monosaccharides', 'Furofuranoid lignans', 'Oleanane triterpenoids', 'Pyridine alkaloids', 'Arylnaphthalene and aryltetralin lignans', 'Agarofuran sesquiterpenoids', 'Flavonols', 'Cinnamic acids and derivatives', 'Furofuranoid lignans|Neolignans', 'Friedelane triterpenoids'}	{'Aporphine alkaloids|Isoquinoline alkaloids', 'Cinnamic acids and derivatives|Phenylethanoids', 'Cardenolides', 'Agarofuran sesquiterpenoids|Pyridine alkaloids', 'Ursane and Taraxastane triterpenoids', 'Neolignans', 'Monosaccharides', 'Furofuranoid lignans', 'Oleanane triterpenoids', 'Pyridine alkaloids', 'Arylnaphthalene and aryltetralin lignans', 'Agarofuran sesquiterpenoids', 'Flavonols', 'Cinnamic acids and derivatives', 'Furofuranoid lignans|Neolignans', 'Friedelane triterpenoids', 'Pyridine alkaloids|Terpenoid alkaloids'}	nothing in DB	nothing in DB	0.0	0.0	0.0
16	LQ-01-61-17_pos.mzXML	{'Agarofuran sesquiterpenoids'}	Euonymus bockii	Euonymus	Celastraceae	nothing in DB	{'Aporphine alkaloids|Isoquinoline alkaloids', 'Cinnamic acids and derivatives|Phenylethanoids', 'Cardenolides', 'Agarofuran sesquiterpenoids|Pyridine alkaloids', 'Ursane and Taraxastane triterpenoids', 'Neolignans', 'Monosaccharides', 'Furofuranoid lignans', 'Oleanane triterpenoids', 'Pyridine alkaloids', 'Arylnaphthalene and aryltetralin lignans', 'Agarofuran sesquiterpenoids', 'Flavonols', 'Cinnamic acids and derivatives', 'Furofuranoid lignans|Neolignans', 'Friedelane triterpenoids', 'Pyridine alkaloids|Terpenoid alkaloids'}	nothing in DB	nothing in DB	0.0	0.0	0.0
17	LQ-01-61-18_pos.mzXML		Euonymus bockii	Euonymus	Celastraceae	nothing in DB	{'Aporphine alkaloids|Isoquinoline alkaloids', 'Cinnamic acids and derivatives|Phenylethanoids', 'Cardenolides', 'Agarofuran sesquiterpenoids|Pyridine alkaloids', 'Ursane and Taraxastane triterpenoids', 'Neolignans', 'Monosaccharides', 'Furofuranoid lignans', 'Oleanane triterpenoids', 'Pyridine alkaloids', 'Arylnaphthalene and aryltetralin lignans', 'Agarofuran sesquiterpenoids', 'Flavonols', 'Cinnamic acids and derivatives', 'Furofuranoid lignans|Neolignans', 'Friedelane triterpenoids', 'Pyridine alkaloids|Terpenoid alkaloids'}	nothing in DB	nothing in DB	0.0	0.0	0.0
18	LQ-01-61-19_pos.mzXML	{'Cholane steroids', 'Agarofuran sesquiterpenoids'}	Euonymus bockii	Euonymus	Celastraceae	nothing in DB	{'Aporphine alkaloids|Isoquinoline alkaloids', 'Cinnamic acids and derivatives|Phenylethanoids', 'Cardenolides', 'Agarofuran sesquiterpenoids|Pyridine alkaloids', 'Ursane and Taraxastane triterpenoids', 'Neolignans', 'Monosaccharides', 'Furofuranoid lignans', 'Oleanane triterpenoids', 'Pyridine alkaloids', 'Arylnaphthalene and aryltetralin lignans', 'Agarofuran sesquiterpenoids', 'Flavonols', 'Cinnamic acids and derivatives', 'Furofuranoid lignans|Neolignans', 'Friedelane triterpenoids', 'Pyridine alkaloids|Terpenoid alkaloids'}	nothing in DB	nothing in DB	0.0	0.0	0.0
19	LQ-01-61-20_pos.mzXML	{'Hydroxy fatty acids', 'Simple coumarins', 'Other Octadecanoids'}	Euonymus maackii	Euonymus	Celastraceae	{'Monosaccharides', 'Oleanane triterpenoids'}	{'Aporphine alkaloids|Isoquinoline alkaloids', 'Cinnamic acids and derivatives|Phenylethanoids', 'Cardenolides', 'Agarofuran sesquiterpenoids|Pyridine alkaloids', 'Ursane and Taraxastane triterpenoids', 'Neolignans', 'Monosaccharides', 'Furofuranoid lignans', 'Oleanane triterpenoids', 'Pyridine alkaloids', 'Arylnaphthalene and aryltetralin lignans', 'Agarofuran sesquiterpenoids', 'Flavonols', 'Cinnamic acids and derivatives', 'Furofuranoid lignans|Neolignans', 'Friedelane triterpenoids', 'Pyridine alkaloids|Terpenoid alkaloids'}	{'Hydroxy fatty acids', 'Simple coumarins', 'Other Octadecanoids'}	{'Hydroxy fatty acids', 'Simple coumarins', 'Other Octadecanoids'}	0.5	0.5	1.0
20	LQ-01-61-21_pos.mzXML	{'Simple phenolic acids'}	Euonymus cochinchinensis	Euonymus	Celastraceae	nothing in DB	{'Aporphine alkaloids|Isoquinoline alkaloids', 'Cinnamic acids and derivatives|Phenylethanoids', 'Cardenolides', 'Agarofuran sesquiterpenoids|Pyridine alkaloids', 'Ursane and Taraxastane triterpenoids', 'Neolignans', 'Monosaccharides', 'Furofuranoid lignans', 'Oleanane triterpenoids', 'Pyridine alkaloids', 'Arylnaphthalene and aryltetralin lignans', 'Agarofuran sesquiterpenoids', 'Flavonols', 'Cinnamic acids and derivatives', 'Furofuranoid lignans|Neolignans', 'Friedelane triterpenoids', 'Pyridine alkaloids|Terpenoid alkaloids'}	nothing in DB	nothing in DB	0.0	0.0	0.0
21	LQ-01-61-22_pos.mzXML	{'Other Octadecanoids', 'Simple phenolic acids'}	Euonymus cochinchinensis	Euonymus	Celastraceae	nothing in DB	{'Aporphine alkaloids|Isoquinoline alkaloids', 'Cinnamic acids and derivatives|Phenylethanoids', 'Cardenolides', 'Agarofuran sesquiterpenoids|Pyridine alkaloids', 'Ursane and Taraxastane triterpenoids', 'Neolignans', 'Monosaccharides', 'Furofuranoid lignans', 'Oleanane triterpenoids', 'Pyridine alkaloids', 'Arylnaphthalene and aryltetralin lignans', 'Agarofuran sesquiterpenoids', 'Flavonols', 'Cinnamic acids and derivatives', 'Furofuranoid lignans|Neolignans', 'Friedelane triterpenoids', 'Pyridine alkaloids|Terpenoid alkaloids'}	nothing in DB	nothing in DB	0.0	0.0	0.0
22	LQ-01-61-23_pos.mzXML	{'Depsidones', 'Other Octadecanoids', 'Agarofuran sesquiterpenoids'}	Euonymus cochinchinensis	Euonymus	Celastraceae	nothing in DB	{'Aporphine alkaloids|Isoquinoline alkaloids', 'Cinnamic acids and derivatives|Phenylethanoids', 'Cardenolides', 'Agarofuran sesquiterpenoids|Pyridine alkaloids', 'Ursane and Taraxastane triterpenoids', 'Neolignans', 'Monosaccharides', 'Furofuranoid lignans', 'Oleanane triterpenoids', 'Pyridine alkaloids', 'Arylnaphthalene and aryltetralin lignans', 'Agarofuran sesquiterpenoids', 'Flavonols', 'Cinnamic acids and derivatives', 'Furofuranoid lignans|Neolignans', 'Friedelane triterpenoids', 'Pyridine alkaloids|Terpenoid alkaloids'}	nothing in DB	nothing in DB	0.0	0.0	0.0
23	LQ-01-61-24_pos.mzXML	{'Hydroxy fatty acids'}	Euonymus dielsianus	Euonymus	Celastraceae	nothing in DB	{'Aporphine alkaloids|Isoquinoline alkaloids', 'Cinnamic acids and derivatives|Phenylethanoids', 'Cardenolides', 'Agarofuran sesquiterpenoids|Pyridine alkaloids', 'Ursane and Taraxastane triterpenoids', 'Neolignans', 'Monosaccharides', 'Furofuranoid lignans', 'Oleanane triterpenoids', 'Pyridine alkaloids', 'Arylnaphthalene and aryltetralin lignans', 'Agarofuran sesquiterpenoids', 'Flavonols', 'Cinnamic acids and derivatives', 'Furofuranoid lignans|Neolignans', 'Friedelane triterpenoids', 'Pyridine alkaloids|Terpenoid alkaloids'}	nothing in DB	nothing in DB	0.0	0.0	0.0
24	LQ-01-61-25_pos.mzXML	{'Hydroxy fatty acids', 'Dicarboxylic acids'}	Euonymus dielsianus	Euonymus	Celastraceae	nothing in DB	{'Aporphine alkaloids|Isoquinoline alkaloids', 'Cinnamic acids and derivatives|Phenylethanoids', 'Cardenolides', 'Agarofuran sesquiterpenoids|Pyridine alkaloids', 'Ursane and Taraxastane triterpenoids', 'Neolignans', 'Monosaccharides', 'Furofuranoid lignans', 'Oleanane triterpenoids', 'Pyridine alkaloids', 'Arylnaphthalene and aryltetralin lignans', 'Agarofuran sesquiterpenoids', 'Flavonols', 'Cinnamic acids and derivatives', 'Furofuranoid lignans|Neolignans', 'Friedelane triterpenoids', 'Pyridine alkaloids|Terpenoid alkaloids'}	nothing in DB	nothing in DB	0.0	0.0	0.0
25	LQ-01-61-26_pos.mzXML		Euonymus dielsianus	Euonymus	Celastraceae	nothing in DB	{'Aporphine alkaloids|Isoquinoline alkaloids', 'Cinnamic acids and derivatives|Phenylethanoids', 'Cardenolides', 'Agarofuran sesquiterpenoids|Pyridine alkaloids', 'Ursane and Taraxastane triterpenoids', 'Neolignans', 'Monosaccharides', 'Furofuranoid lignans', 'Oleanane triterpenoids', 'Pyridine alkaloids', 'Arylnaphthalene and aryltetralin lignans', 'Agarofuran sesquiterpenoids', 'Flavonols', 'Cinnamic acids and derivatives', 'Furofuranoid lignans|Neolignans', 'Friedelane triterpenoids', 'Pyridine alkaloids|Terpenoid alkaloids'}	nothing in DB	nothing in DB	0.0	0.0	0.0
