shared name	CAN_name	CAN_molecularFormula	CAN_adduct	CAN_pathway	CAN_superclass	CAN_classe
84	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/83_Celastraceae_pos_SIRIUS_84	C17H26O	[M-H2O+H]+	Terpenoids	Sesquiterpenoids	
9237	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8400_Celastraceae_pos_SIRIUS_9237	C18H27NO7	[M+H3N+H]+	Polyketides		
9240	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8402_Celastraceae_pos_SIRIUS_9240	C6H16O3PS	[M+H]+	Fatty acids		
9242	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8403_Celastraceae_pos_SIRIUS_9242	C17H30NO2	[M+H]+	Fatty acids	Fatty amides	Primary amides
9243	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8404_Celastraceae_pos_SIRIUS_9243	C10H14N2O3	[M+K]+	Alkaloids	Pseudoalkaloids (transamidation)	Phenylalanine-derived alkaloids
9248	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8405_Celastraceae_pos_SIRIUS_9248	C9H14N2O3	[M+K]+	Alkaloids		
9249	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8406_Celastraceae_pos_SIRIUS_9249	C29H37NO11	[M-H4O2+H]+	Terpenoids	Sesquiterpenoids	
9250	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8407_Celastraceae_pos_SIRIUS_9250	C11H12O3	[M-H2O+H]+	Polyketides	Phloroglucinols	Acyl phloroglucinols
9251	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8408_Celastraceae_pos_SIRIUS_9251	C30H50O7	[M+Na]+	Polyketides	Polyethers	Polyether ionophores
9252	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8409_Celastraceae_pos_SIRIUS_9252	C7H6O3	[M-H4O2+H]+	Shikimates and Phenylpropanoids	Phenolic acids (C6-C1)	Shikimic acids and derivatives
