shared name	CAN_name	CAN_molecularFormula	CAN_adduct	CAN_pathway	CAN_superclass	CAN_classe
1	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/0_Celastraceae_pos_SIRIUS_1	C37H45NO12	[M-H2O+H]+	Terpenoids	Sesquiterpenoids	Agarofuran sesquiterpenoids
11106	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10000_Celastraceae_pos_SIRIUS_11106	C29H53NO7	[M+Na]+	Terpenoids	Triterpenoids	
11107	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10001_Celastraceae_pos_SIRIUS_11107	C19H26O6	[M+H]+	Terpenoids	Sesquiterpenoids	Drimane sesquiterpenoids
11108	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10002_Celastraceae_pos_SIRIUS_11108	C31H49NO6	[M-H4O2+H]+	Terpenoids	Triterpenoids	
11109	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10003_Celastraceae_pos_SIRIUS_11109	C39H59NO7	[M-H2O+H]+	Terpenoids	Triterpenoids	Oleanane triterpenoids
11111	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10004_Celastraceae_pos_SIRIUS_11111	C27H44O5	[M+Na]+	Terpenoids	Triterpenoids	Ursane and Taraxastane triterpenoids
11113	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10005_Celastraceae_pos_SIRIUS_11113	C34H56O9	[M-H2O+H]+	Terpenoids		
11114	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10006_Celastraceae_pos_SIRIUS_11114	C23H43NO3	[M+H3N+H]+	Terpenoids	Steroids	Cholane steroids
11118	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10009_Celastraceae_pos_SIRIUS_11118	C27H40O2	[M+H]+	Terpenoids	Triterpenoids	Lupane triterpenoids
1059	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/1000_Celastraceae_pos_SIRIUS_1059	C18H39NO4	[M-H2O+H]+	Fatty acids	Fatty Acids and Conjugates	Nitro fatty acids
11119	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10010_Celastraceae_pos_SIRIUS_11119	C29H54N2O3	[M+K]+	Terpenoids	Steroids	Cholane steroids
11120	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10011_Celastraceae_pos_SIRIUS_11120	C20H23NO5	[M-H4O2+H]+	Terpenoids		
11121	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10012_Celastraceae_pos_SIRIUS_11121	C25H39NO3	[M+H]+	Fatty acids	Fatty amides	N-acyl amines
11124	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10015_Celastraceae_pos_SIRIUS_11124	C32H52O9	[M+H]+	Polyketides	Macrolides	Macrolide lactones
11125	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10016_Celastraceae_pos_SIRIUS_11125	C39H56O7	[M+Na]+	Terpenoids	Triterpenoids	Oleanane triterpenoids
11126	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10017_Celastraceae_pos_SIRIUS_11126	C10H12O4	[M+H]+	Polyketides	Phloroglucinols	Acyl phloroglucinols
11127	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10018_Celastraceae_pos_SIRIUS_11127	C32H50O6	[M-H2O+H]+	Terpenoids	Triterpenoids	Ursane and Taraxastane triterpenoids
11128	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10019_Celastraceae_pos_SIRIUS_11128	C30H49NO7	[M-H2O+H]+	Terpenoids	Triterpenoids	
11129	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10020_Celastraceae_pos_SIRIUS_11129	C21H40O5	[M+H]+	Fatty acids	Glycerolipids	
11132	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10022_Celastraceae_pos_SIRIUS_11132	C30H51NO7	[M+H]+	Terpenoids	Triterpenoids	
11133	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10023_Celastraceae_pos_SIRIUS_11133	C30H48O7	[M+Na]+	Terpenoids	Triterpenoids	
11134	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10024_Celastraceae_pos_SIRIUS_11134	C19H36O5	[M+Na]+	Fatty acids	Fatty acyls	Fatty alcohols
11140	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10026_Celastraceae_pos_SIRIUS_11140	C15H28O4	[M+K]+	Terpenoids	Sesquiterpenoids	
11141	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10027_Celastraceae_pos_SIRIUS_11141	C24H34O	[M+K]+	Terpenoids	Steroids	Vitamin D2 and derivatives
11143	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10028_Celastraceae_pos_SIRIUS_11143	C21H43NO5	[M+H]+	Fatty acids	Spingolipids	
11144	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10029_Celastraceae_pos_SIRIUS_11144	C17H21NO4	[M-H2O+H]+	Terpenoids	Sesquiterpenoids	Drimane sesquiterpenoids
11145	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10030_Celastraceae_pos_SIRIUS_11145	C13H10O8	[M+Na]+	Shikimates and Phenylpropanoids		
11146	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10031_Celastraceae_pos_SIRIUS_11146	C20H32N2OS	[M+Na]+	Terpenoids		
11147	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10032_Celastraceae_pos_SIRIUS_11147	C17H27NO2	[M-H2O+H]+	Fatty acids	Fatty Acids and Conjugates	
11148	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10033_Celastraceae_pos_SIRIUS_11148	C30H49NO7	[M+H3N+H]+	Terpenoids	Triterpenoids	Ursane and Taraxastane triterpenoids
11149	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10034_Celastraceae_pos_SIRIUS_11149	C30H50O3	[M-H2O+H]+	Terpenoids	Triterpenoids	Dammarane and Protostane triterpenoids
11151	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10035_Celastraceae_pos_SIRIUS_11151	C28H46O5	[M+Na]+	Terpenoids	Steroids	
11152	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10036_Celastraceae_pos_SIRIUS_11152	C13H12O3S2	[M+Na]+	Fatty acids		
11153	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10037_Celastraceae_pos_SIRIUS_11153	C14H19ClO6	[M+H]+	Shikimates and Phenylpropanoids	Phenolic acids (C6-C1)	Simple phenolic acids
11154	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10038_Celastraceae_pos_SIRIUS_11154	C18H16O4	[M-H2O+H]+	Shikimates and Phenylpropanoids	Lignans	
11155	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10039_Celastraceae_pos_SIRIUS_11155	C15H28O4	[M+K]+	Terpenoids	Sesquiterpenoids	
1062	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/1003_Celastraceae_pos_SIRIUS_1062	C32H50O6	[M-H2O+H]+	Terpenoids	Triterpenoids	Ursane and Taraxastane triterpenoids
11157	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10041_Celastraceae_pos_SIRIUS_11157	C27H44O2	[M+Na]+	Terpenoids	Triterpenoids	
11158	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10042_Celastraceae_pos_SIRIUS_11158	C16H24O6	[M+H]+	Terpenoids	Monoterpenoids	Menthane monoterpenoids
11159	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10043_Celastraceae_pos_SIRIUS_11159	C15H27NO4	[M+H]+	Amino acids and Peptides	Small peptides	Dipeptides
11161	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10045_Celastraceae_pos_SIRIUS_11161	C36H58O11	[M+Na]+	Terpenoids	Triterpenoids	Oleanane triterpenoids
11162	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10046_Celastraceae_pos_SIRIUS_11162	C20H16O12	[M+H]+	Shikimates and Phenylpropanoids	Phenolic acids (C6-C1)	Gallotannins
11163	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10047_Celastraceae_pos_SIRIUS_11163	C15H28N2O	[M+H]+	Alkaloids	Lysine alkaloids	Piperidine alkaloids
11165	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10048_Celastraceae_pos_SIRIUS_11165	C13H17NO2	[M+H]+	Alkaloids		
11166	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10049_Celastraceae_pos_SIRIUS_11166	C27H44O	[M+H]+	Terpenoids	Triterpenoids	Lanostane, Tirucallane and Euphane triterpenoids
1063	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/1004_Celastraceae_pos_SIRIUS_1063	C12H15N3O	[M-H4O2+H]+	Alkaloids		
11167	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10050_Celastraceae_pos_SIRIUS_11167	C29H46	[M+H]+	Terpenoids	Triterpenoids	
11168	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10051_Celastraceae_pos_SIRIUS_11168	C13H18O	[M-H2O+H]+	Terpenoids	Apocarotenoids	Apocarotenoids(ε-)
11169	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10052_Celastraceae_pos_SIRIUS_11169	C22H38O	[M-H4O2+H]+	Terpenoids		
11171	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10054_Celastraceae_pos_SIRIUS_11171	C30H49NO3	[M+H]+	Terpenoids	Triterpenoids	Oleanane triterpenoids
11173	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10055_Celastraceae_pos_SIRIUS_11173	C13H20O	[M-H2O+H]+	Terpenoids	Apocarotenoids	Apocarotenoids(ε-)
11174	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10056_Celastraceae_pos_SIRIUS_11174	C13H19N3	[M+H]+	Alkaloids		
11175	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10057_Celastraceae_pos_SIRIUS_11175	C29H44O2	[M-H2O+H]+	Terpenoids	Triterpenoids	Lanostane, Tirucallane and Euphane triterpenoids
11176	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10058_Celastraceae_pos_SIRIUS_11176	C11H18O2	[M-H2O+H]+	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids
11177	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10059_Celastraceae_pos_SIRIUS_11177	C11H14O2	[M-H2O+H]+	Fatty acids	Octadecanoids	Jasmonic acids
1064	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/1005_Celastraceae_pos_SIRIUS_1064	C26H44O4	[M+Na]+	Terpenoids	Steroids	
11178	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10060_Celastraceae_pos_SIRIUS_11178	C15H24O3	[M+Na]+	Terpenoids	Sesquiterpenoids	
11179	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10061_Celastraceae_pos_SIRIUS_11179	C28H42O2	[M+H]+	Terpenoids	Steroids	Vitamin D2 and derivatives
11180	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10062_Celastraceae_pos_SIRIUS_11180	C30H50O4	[M+Na]+	Terpenoids	Triterpenoids	Lanostane, Tirucallane and Euphane triterpenoids
11181	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10063_Celastraceae_pos_SIRIUS_11181	C20H30	[M-H2O+H]+	Terpenoids	Diterpenoids	Beyerane diterpenoids
11183	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10064_Celastraceae_pos_SIRIUS_11183	C20H35N	[M-H4O2+H]+	Fatty acids	Spingolipids	Sphingoid bases
11184	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10065_Celastraceae_pos_SIRIUS_11184	C30H50O3	[M+Na]+	Terpenoids	Triterpenoids	Oleanane triterpenoids
11185	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10066_Celastraceae_pos_SIRIUS_11185	C30H48O4	[M-H2O+H]+	Terpenoids	Triterpenoids	Ursane and Taraxastane triterpenoids
11186	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10067_Celastraceae_pos_SIRIUS_11186	C11H19NO3	[M+H]+	Amino acids and Peptides	Small peptides	Aminoacids
11187	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10068_Celastraceae_pos_SIRIUS_11187	C11H14O4	[M+H]+	Polyketides	Phloroglucinols	Acyl phloroglucinols
11188	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10069_Celastraceae_pos_SIRIUS_11188	C32H50O4	[M-H2O+H]+	Terpenoids	Triterpenoids	Lanostane, Tirucallane and Euphane triterpenoids
1065	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/1006_Celastraceae_pos_SIRIUS_1065	C11H12O	[M+H]+	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives
11189	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10070_Celastraceae_pos_SIRIUS_11189	C8H13O3	[M+K]+	Terpenoids		
11190	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10071_Celastraceae_pos_SIRIUS_11190	C12H18O2	[M-H4O2+H]+	Fatty acids	Fatty Acids and Conjugates	
11191	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10072_Celastraceae_pos_SIRIUS_11191	C15H26O2	[M+H]+	Terpenoids	Sesquiterpenoids	
11192	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10073_Celastraceae_pos_SIRIUS_11192	C30H44	[M-H4O2+H]+	Terpenoids	Triterpenoids	Lanostane, Tirucallane and Euphane triterpenoids
11193	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10074_Celastraceae_pos_SIRIUS_11193	C15H20O2	[M+H]+	Terpenoids	Sesquiterpenoids	
11194	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10075_Celastraceae_pos_SIRIUS_11194	C10H12O	[M-H2O+H]+	Terpenoids	Monoterpenoids	Pinane monoterpenoids
11196	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10077_Celastraceae_pos_SIRIUS_11196	C15H24OS	[M-H4O2+H]+	Terpenoids	Sesquiterpenoids	
11198	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10078_Celastraceae_pos_SIRIUS_11198	C30H46O3	[M+Na]+	Terpenoids	Triterpenoids	
11199	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10079_Celastraceae_pos_SIRIUS_11199	C21H42NO2	[M+Na]+	Fatty acids	Fatty amides	N-acyl ethanolamines (endocannabinoids)
1066	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/1007_Celastraceae_pos_SIRIUS_1066	C26H42O4	[M+Na]+	Terpenoids	Meroterpenoids	
11200	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10080_Celastraceae_pos_SIRIUS_11200	C7H11NO2	[M-H2O+H]+	Amino acids and Peptides	Small peptides	Dipeptides
11203	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10081_Celastraceae_pos_SIRIUS_11203	C10H14O2	[M+H]+	Terpenoids	Monoterpenoids	
11204	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10082_Celastraceae_pos_SIRIUS_11204	C12H16	[M-H4O2+H]+	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids
11205	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10083_Celastraceae_pos_SIRIUS_11205	C14H15NO2	[M+H3N+H]+	Shikimates and Phenylpropanoids	Coumarins	Simple coumarins
11206	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10084_Celastraceae_pos_SIRIUS_11206	C11H14O	[M+H]+	Terpenoids	Sesquiterpenoids	
11207	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10085_Celastraceae_pos_SIRIUS_11207	C10H18O3	[M+Na]+	Fatty acids		
11208	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10086_Celastraceae_pos_SIRIUS_11208	C11H16O3	[M-H2O+H]+	Polyketides	Linear polyketides	
11209	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10087_Celastraceae_pos_SIRIUS_11209	C13H15NO2	[M-H2O+H]+	Alkaloids		
11210	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10088_Celastraceae_pos_SIRIUS_11210	C10H14	[M-H4O2+H]+	Terpenoids	Monoterpenoids	
11212	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10089_Celastraceae_pos_SIRIUS_11212	C16H33NO	[M-H2O+H]+	Fatty acids	Spingolipids	Sphingoid bases
1067	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/1008_Celastraceae_pos_SIRIUS_1067	C17H19NO4	[M+H]+	Alkaloids		
11213	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10090_Celastraceae_pos_SIRIUS_11213	C17H26O2	[M+H]+	Terpenoids	Sesquiterpenoids	
11214	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10091_Celastraceae_pos_SIRIUS_11214	C10H13NS2	[M+H]+	Terpenoids	Monoterpenoids	
11215	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10092_Celastraceae_pos_SIRIUS_11215	C5H13NO3S	[M-H4O2+H]+	Amino acids and Peptides	Small peptides	Aminoacids
11216	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10093_Celastraceae_pos_SIRIUS_11216	C15H27NO3	[M+H]+	Fatty acids		
11217	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10094_Celastraceae_pos_SIRIUS_11217	C14H21NO3	[M+H]+	Amino acids and Peptides	Linear polyketides	3-acyl tetramic acids
11218	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10095_Celastraceae_pos_SIRIUS_11218	C11H20O2	[M-H2O+H]+	Terpenoids	Monoterpenoids	
11219	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10096_Celastraceae_pos_SIRIUS_11219	C11H12O	[M+H]+	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives
11220	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10097_Celastraceae_pos_SIRIUS_11220	C13H22O	[M-H2O+H]+	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids
11221	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10098_Celastraceae_pos_SIRIUS_11221	C13H20O	[M-H2O+H]+	Terpenoids	Apocarotenoids	Apocarotenoids(ε-)
11222	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10099_Celastraceae_pos_SIRIUS_11222	C25H38O6	[M+Na]+	Terpenoids	Sesquiterpenoids	
101	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/100_Celastraceae_pos_SIRIUS_101	C25H31NO12	[M+Na]+	Alkaloids	Nicotinic acid alkaloids	Pyridine alkaloids
11223	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10100_Celastraceae_pos_SIRIUS_11223	C20H22O7	[M-H2O+H]+	Shikimates and Phenylpropanoids	Lignans	Furofuranoid lignans
11224	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10101_Celastraceae_pos_SIRIUS_11224	C27H44O	[M-H2O+H]+	Terpenoids	Steroids	
11225	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10102_Celastraceae_pos_SIRIUS_11225	C17H35NO	[M-H2O+H]+	Fatty acids	Spingolipids	Sphingoid bases
11226	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10103_Celastraceae_pos_SIRIUS_11226	C14H19NO	[M+H3N+H]+	Terpenoids	Sesquiterpenoids	
11227	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10104_Celastraceae_pos_SIRIUS_11227	C27H42O2	[M+Na]+	Terpenoids	Triterpenoids	Lanostane, Tirucallane and Euphane triterpenoids
11228	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10105_Celastraceae_pos_SIRIUS_11228	C16H26O3	[M-H4O2+H]+	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids
11229	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10106_Celastraceae_pos_SIRIUS_11229	C30H51NO4	[M-H4O2+H]+	Terpenoids	Triterpenoids	Oleanane triterpenoids
11230	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10107_Celastraceae_pos_SIRIUS_11230	C11H20O3	[M+H]+	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids
11231	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10108_Celastraceae_pos_SIRIUS_11231	C11H12O3	[M+Na]+	Shikimates and Phenylpropanoids	Coumarins	
11232	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10109_Celastraceae_pos_SIRIUS_11232	C15H24OS	[M-H2O+H]+	Terpenoids	Sesquiterpenoids	
11233	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10110_Celastraceae_pos_SIRIUS_11233	C13H19NO2	[M+H3N+H]+	Terpenoids		
11234	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10111_Celastraceae_pos_SIRIUS_11234	C15H24O3	[M+K]+	Terpenoids	Sesquiterpenoids	
11235	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10112_Celastraceae_pos_SIRIUS_11235	C28H42O2	[M-H2O+H]+	Terpenoids	Steroids	Vitamin D2 and derivatives
11236	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10113_Celastraceae_pos_SIRIUS_11236	C20H37NO2	[M+H]+	Fatty acids	Fatty amides	N-acyl ethanolamines (endocannabinoids)
11237	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10114_Celastraceae_pos_SIRIUS_11237	C27H46O2	[M+H]+	Terpenoids	Steroids	Cholestane steroids
11238	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10115_Celastraceae_pos_SIRIUS_11238	C14H11NO4	[M+H]+	Alkaloids	Anthranilic acid alkaloids	Quinoline alkaloids
11239	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10116_Celastraceae_pos_SIRIUS_11239	C11H19NO	[M-H2O+H]+	Fatty acids		
11240	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10117_Celastraceae_pos_SIRIUS_11240	C13H16O	[M+H]+	Terpenoids	Sesquiterpenoids	
11241	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10118_Celastraceae_pos_SIRIUS_11241	C31H36O11	[M+Na]+	Shikimates and Phenylpropanoids	Lignans	
11242	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10119_Celastraceae_pos_SIRIUS_11242	C9H12N2O2	[M+H]+	Fatty acids	Fatty amides	Primary amides
1070	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/1011_Celastraceae_pos_SIRIUS_1070	C17H20O2	[M-H4O2+H]+	Polyketides		
11244	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10120_Celastraceae_pos_SIRIUS_11244	C25H24O4	[M-H4O2+H]+	Shikimates and Phenylpropanoids	Flavonoids	Chalcones
11245	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10121_Celastraceae_pos_SIRIUS_11245	C23H37N5O3	[M+H]+	Alkaloids	Pseudoalkaloids (transamidation)	Purine alkaloids
11246	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10122_Celastraceae_pos_SIRIUS_11246	C11H18O	[M-H4O2+H]+	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids
11247	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10123_Celastraceae_pos_SIRIUS_11247	C30H51NO3	[M+H]+	Terpenoids	Triterpenoids	
11249	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10125_Celastraceae_pos_SIRIUS_11249	C19H37NO	[M-H2O+H]+	Fatty acids	Fatty amides	Primary amides
11250	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10126_Celastraceae_pos_SIRIUS_11250	C9H8O3	[M+H]+	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives
11252	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10128_Celastraceae_pos_SIRIUS_11252	C20H30O	[M+H]+	Terpenoids	Steroids	
11253	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10129_Celastraceae_pos_SIRIUS_11253	C9H12O	[M-H4O2+H]+	Fatty acids		
1071	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/1012_Celastraceae_pos_SIRIUS_1071	C27H44O6	[M+Na]+	Terpenoids	Triterpenoids	Ursane and Taraxastane triterpenoids
11254	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10130_Celastraceae_pos_SIRIUS_11254	C13H16O4	[M+H]+	Shikimates and Phenylpropanoids	Coumarins	
11255	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10131_Celastraceae_pos_SIRIUS_11255	C30H52O4	[M+H]+	Terpenoids	Triterpenoids	Lanostane, Tirucallane and Euphane triterpenoids
11256	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10132_Celastraceae_pos_SIRIUS_11256	C8H10O4	[M-H4O2+H]+	Carbohydrates	Saccharides	Monosaccharides
11257	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10133_Celastraceae_pos_SIRIUS_11257	C13H18O2	[M+Na]+	Terpenoids	Apocarotenoids	Apocarotenoids (β-)
11258	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10134_Celastraceae_pos_SIRIUS_11258	C13H18O5	[M+K]+			
11259	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10135_Celastraceae_pos_SIRIUS_11259	C16H19NO2	[M-H2O+H]+	Alkaloids	Tryptophan alkaloids	Quinoline alkaloids
11260	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10136_Celastraceae_pos_SIRIUS_11260	C9H14	[M+H]+	Terpenoids	Monoterpenoids	Monocyclic monoterpenoids
11261	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10137_Celastraceae_pos_SIRIUS_11261	C21H38O2	[M-H2O+H]+	Fatty acids	Fatty Acids and Conjugates	
11262	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10138_Celastraceae_pos_SIRIUS_11262	C20H36O6	[M+K]+	Fatty acids		
1072	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/1013_Celastraceae_pos_SIRIUS_1072	C32H48O6	[M+H]+	Terpenoids	Triterpenoids	
11265	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/10141_Celastraceae_pos_SIRIUS_11265	C24H36O5	[M-H2O+H]+	Terpenoids		
