name,directoryName,pathway,pathwayProbability,superclass,superclassProbability,class,classProbability,ClassyFirePrediction,ClassyFirePredictionProbability
9540,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8654_Celastraceae_pos_SIRIUS_9540,Amino acids and Peptides,0.9395039677619934,Small peptides,0.08864162117242813,Dipeptides,0.348114937543869,"Amino acids, peptides, and analogues",0.5086595416069031
9542,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8655_Celastraceae_pos_SIRIUS_9542,Fatty acids,0.96027010679245,N/A,0.0,N/A,0.0,Fatty Acyls,0.6370204091072083
9543,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8656_Celastraceae_pos_SIRIUS_9543,Shikimates and Phenylpropanoids,0.685264527797699,Phenylpropanoids (C6-C3),0.6606354117393494,Cinnamic acid amides,0.35334232449531555,Cinnamic acid amides,0.7955917119979858
9544,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8657_Celastraceae_pos_SIRIUS_9544,Fatty acids,0.7057905197143555,Fatty Acids and Conjugates,0.8607863783836365,Straight chain fatty acids,0.5276103615760803,Fatty Acyls,0.8377746343612671
9545,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8658_Celastraceae_pos_SIRIUS_9545,Fatty acids,0.567183792591095,Spingolipids,0.43111103773117065,Ceramides,0.7550279498100281,Ceramides,0.9036738872528076
9546,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8659_Celastraceae_pos_SIRIUS_9546,Alkaloids,0.7013257145881653,N/A,0.0,N/A,0.0,Benzenoids,0.807131290435791
912,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/865_Celastraceae_pos_SIRIUS_912,Terpenoids,0.48300331830978394,N/A,0.0,N/A,0.0,"Hydroxy bile acids, alcohols and derivatives",0.5506781935691833
9547,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8660_Celastraceae_pos_SIRIUS_9547,Alkaloids,0.9565852284431458,N/A,0.0,N/A,0.0,Benzene and substituted derivatives,0.6120834946632385
9548,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8661_Celastraceae_pos_SIRIUS_9548,Fatty acids,0.9897842407226562,Fatty amides,0.8389396071434021,N/A,0.0,N-acyl amines,0.6806308627128601
9549,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8662_Celastraceae_pos_SIRIUS_9549,Alkaloids,0.46288228034973145,N/A,0.0,N/A,0.0,Organic acids and derivatives,0.5980228781700134
